index	highest_proba	outcome	cost_of_classification	used_features
0	0.859009424330991	7	67	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_1k,history_nausea,bone,ar_c,notch_4k,m_sn_gt_4k,ar_u,mod_sn_gt_3k,history_roaring,history_vomiting,bser,m_m_sn_gt_1k,m_cond_lt_1k,m_m_sn_gt_500,m_sn_gt_3k,mod_sn_gt_4k,mod_sn_gt_500,boneAbnormal,m_m_sn_gt_2k,m_sn_lt_2k,m_sn_lt_3k,history_dizziness,m_p_sn_gt_2k,airBoneGap,m_s_sn_gt_1k,m_sn_2_3k,m_m_sn,m_s_gt_500,o_ar_u,history_buzzing,m_s_sn_gt_3k,m_sn_gt_2k,history_fluctuating,mod_gt_4k,mod_sn_gt_1k,history_fullness,mod_sn_gt_2k,history_heredity,history_recruitment,history_ringing,m_sn_gt_6k,late_wave_poor,mod_mixed,m_at_2k,m_gt_1k,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k,vmod_s_mixed,m_s_sn_gt_4k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,mod_sn,tymp,s_sn_gt_2k,s_sn_gt_1k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
1	0.8563918553521264	7	63	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_1k,history_nausea,bone,ar_c,notch_4k,m_sn_gt_4k,ar_u,mod_sn_gt_3k,history_roaring,history_vomiting,bser,m_m_sn_gt_1k,m_cond_lt_1k,m_m_sn_gt_500,m_sn_gt_3k,mod_sn_gt_4k,mod_sn_gt_500,boneAbnormal,m_m_sn_gt_2k,m_sn_lt_2k,m_sn_lt_3k,history_dizziness,m_p_sn_gt_2k,airBoneGap,m_s_sn_gt_1k,m_sn_2_3k,m_m_sn,m_s_gt_500,o_ar_u,history_buzzing,m_s_sn_gt_3k,m_sn_gt_2k,history_fluctuating,mod_gt_4k,mod_sn_gt_1k,history_fullness,mod_sn_gt_2k,history_heredity,history_recruitment,history_ringing,m_sn_gt_6k,late_wave_poor,mod_mixed,m_at_2k,m_gt_1k,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k,vmod_s_mixed,m_s_sn_gt_4k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,mod_sn,tymp,s_sn_gt_2k,s_sn_gt_1k,s_sn_gt_4k
2	0.892453990457685	7	6	history_noise,air,ar_c,notch_at_4k,m_m_sn_gt_1k,o_ar_c
3	0.6510246275865735	7	67	o_ar_c,history_noise,notch_4k,notch_at_4k,ar_u,bser,m_cond_lt_1k,m_p_sn_gt_2k,history_nausea,mod_sn_gt_3k,m_m_sn,history_dizziness,airBoneGap,mod_sn_gt_4k,ar_c,m_m_sn_gt_1k,m_s_sn_gt_1k,m_sn_2_3k,history_buzzing,history_roaring,history_fluctuating,history_vomiting,m_sn_gt_3k,m_m_sn_gt_500,m_s_gt_500,history_fullness,mod_sn_gt_2k,air,o_ar_u,mod_sn_gt_500,m_sn_gt_2k,m_sn_gt_6k,bone,m_sn_lt_2k,m_sn_lt_3k,mod_mixed,boneAbnormal,vmod_s_mixed,m_sn_gt_4k,mod_gt_4k,mod_sn_gt_1k,mod_sn,history_heredity,history_recruitment,s_sn_gt_2k,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_2k,m_sn_gt_500,m_s_sn_gt_3k,m_s_sn_gt_4k,m_sn_lt_1k,middle_wave_poor,m_sn_gt_1k,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,static_normal,m_m_gt_2k,tymp,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
4	0.856592830808261	7	44	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,bser,m_cond_lt_1k,mod_sn_gt_3k,m_m_sn,airBoneGap,history_dizziness,boneAbnormal,mod_sn_gt_4k,history_buzzing,history_roaring,history_vomiting,m_m_sn_gt_1k,ar_u,m_sn_gt_3k,mod_sn_gt_500,history_fluctuating,history_fullness,history_heredity,m_m_sn_gt_2k,m_m_sn_gt_500,m_s_gt_500,ar_c,history_recruitment,m_p_sn_gt_2k,m_s_sn_gt_3k,bone,m_s_sn_gt_1k,history_ringing,mod_sn_gt_2k,m_sn_2_3k,late_wave_poor,o_ar_u,m_sn_gt_6k,m_sn_gt_4k,m_at_2k,m_sn_gt_2k,m_gt_1k,m_m_gt_2k,m_s_sn
5	0.8429225944634245	7	67	history_noise,air,o_ar_c,bone,notch_at_4k,ar_u,notch_4k,bser,airBoneGap,mod_sn_gt_2k,m_cond_lt_1k,history_nausea,mod_sn_gt_3k,history_vomiting,m_m_gt_2k,mod_sn_gt_4k,m_m_sn_gt_500,history_roaring,ar_c,history_buzzing,m_m_sn_gt_2k,m_sn_gt_3k,mod_sn_gt_500,history_fluctuating,m_m_sn_gt_1k,m_p_sn_gt_2k,m_sn_gt_1k,m_sn_gt_4k,history_dizziness,history_fullness,history_heredity,m_s_gt_500,history_recruitment,history_ringing,m_sn_gt_2k,m_sn_2_3k,late_wave_poor,m_s_sn_gt_1k,o_ar_u,m_sn_gt_6k,m_m_sn,boneAbnormal,m_sn_lt_2k,m_at_2k,m_sn_lt_3k,mod_mixed,vmod_s_mixed,mod_sn,tymp,m_gt_1k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_500,s_sn_gt_2k,static_normal,m_sn_lt_1k,middle_wave_poor,m_s_sn_gt_4k,mod_gt_4k,mod_s_sn_gt_500,mod_sn_gt_1k,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
6	0.8429225944634245	7	67	history_noise,air,o_ar_c,bone,notch_at_4k,ar_u,notch_4k,bser,airBoneGap,mod_sn_gt_2k,m_cond_lt_1k,history_nausea,mod_sn_gt_3k,history_vomiting,m_m_gt_2k,mod_sn_gt_4k,m_m_sn_gt_500,history_roaring,ar_c,history_buzzing,m_m_sn_gt_2k,m_sn_gt_3k,mod_sn_gt_500,history_fluctuating,m_m_sn_gt_1k,m_p_sn_gt_2k,m_sn_gt_1k,m_sn_gt_4k,history_dizziness,history_fullness,history_heredity,m_s_gt_500,history_recruitment,history_ringing,m_sn_gt_2k,m_sn_2_3k,late_wave_poor,m_s_sn_gt_1k,o_ar_u,m_sn_gt_6k,m_m_sn,boneAbnormal,m_sn_lt_2k,m_at_2k,m_sn_lt_3k,mod_mixed,vmod_s_mixed,mod_sn,tymp,m_gt_1k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_500,s_sn_gt_2k,static_normal,m_sn_lt_1k,middle_wave_poor,m_s_sn_gt_4k,mod_gt_4k,mod_s_sn_gt_500,mod_sn_gt_1k,s_sn_gt_1k,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
7	0.8510462619445138	2	17	o_ar_c,history_noise,air,bone,notch_at_4k,mod_sn_gt_3k,ar_u,bser,ar_c,history_vomiting,s_sn_gt_2k,airBoneGap,m_sn_gt_3k,notch_4k,mod_sn_gt_4k,mod_sn_gt_500,boneAbnormal
8	0.912827807495157	7	23	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_1k,bser,history_vomiting,mod_sn_gt_3k,notch_4k,m_sn_gt_3k,m_cond_lt_1k,m_m_sn_gt_1k,mod_sn_gt_4k,history_nausea,history_roaring,airBoneGap,history_buzzing,mod_sn_gt_2k,mod_sn_gt_500,ar_c,m_m_sn_gt_500,history_fluctuating,ar_u
9	0.8505692393604315	7	44	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,bser,m_cond_lt_1k,mod_sn_gt_3k,m_m_sn,airBoneGap,history_dizziness,boneAbnormal,mod_sn_gt_4k,history_buzzing,history_roaring,history_vomiting,m_m_sn_gt_1k,ar_u,m_sn_gt_3k,mod_sn_gt_500,history_fluctuating,history_fullness,history_heredity,m_m_sn_gt_2k,m_m_sn_gt_500,m_s_gt_500,ar_c,history_recruitment,m_p_sn_gt_2k,m_s_sn_gt_3k,bone,m_s_sn_gt_1k,history_ringing,mod_sn_gt_2k,m_sn_2_3k,late_wave_poor,o_ar_u,m_sn_gt_6k,m_sn_gt_4k,m_at_2k,m_sn_gt_2k,m_gt_1k,m_m_gt_2k,m_s_sn
