index	highest_proba	outcome	cost_of_classification	used_features
0	0.8695764306644389	2	9	o_ar_c,history_noise,air,m_m_sn,notch_4k,notch_at_4k,ar_u,history_dizziness,mod_sn_gt_3k
1	0.870039667812709	2	6	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k
2	0.8523568315314083	7	3	history_noise,o_ar_c,notch_4k
3	0.969567624198852	7	12	o_ar_c,history_noise,notch_4k,notch_at_4k,ar_u,history_nausea,air,mod_sn_gt_3k,m_m_sn,m_sn_gt_4k,mod_sn_gt_4k,ar_c
4	0.8695764306644389	2	9	o_ar_c,history_noise,air,m_m_sn,notch_4k,notch_at_4k,ar_u,history_dizziness,mod_sn_gt_3k
5	0.870039667812709	2	6	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k
6	0.8982749182321741	2	10	o_ar_c,history_noise,bone,notch_at_4k,history_nausea,ar_u,ar_c,bser,mod_sn_gt_3k,air
7	0.8718903495647308	2	4	air,history_noise,o_ar_c,mod_sn_gt_3k
8	0.8691251329924854	7	8	history_noise,o_ar_c,mod_sn_gt_3k,mod_sn_gt_2k,history_nausea,m_m_sn_gt_500,m_sn_gt_4k,history_vomiting
9	0.85572561727095	2	7	history_noise,o_ar_c,mod_sn_gt_3k,notch_at_4k,history_nausea,air,bone
10	0.8839401174532849	2	6	o_ar_c,history_noise,ar_c,notch_at_4k,mod_sn_gt_3k,history_nausea
11	0.8576099540443419	2	6	history_noise,o_ar_c,notch_4k,notch_at_4k,mod_sn_gt_3k,ar_c
12	0.8576099540443419	2	6	history_noise,o_ar_c,notch_4k,notch_at_4k,mod_sn_gt_3k,ar_c
13	0.8785776118245138	7	4	o_ar_c,history_noise,air,notch_at_4k
14	0.8940494319306369	2	6	o_ar_c,history_noise,notch_at_4k,notch_4k,air,history_dizziness
15	0.8739750927365783	2	9	o_ar_c,history_noise,bone,notch_at_4k,history_nausea,ar_u,ar_c,bser,o_ar_u
16	0.5936017730786749	7	67	history_noise,o_ar_c,air,bone,notch_at_4k,notch_4k,history_dizziness,ar_u,m_sn_gt_4k,mod_sn_gt_3k,ar_c,bser,m_cond_lt_1k,s_sn_gt_1k,m_s_sn_gt_4k,m_sn_lt_2k,history_nausea,m_sn_lt_3k,m_m_sn_gt_2k,mod_sn_gt_1k,m_m_sn_gt_500,m_sn_2_3k,history_vomiting,airBoneGap,m_m_sn,history_roaring,m_sn_gt_3k,history_buzzing,history_fluctuating,boneAbnormal,history_fullness,mod_sn_gt_4k,history_heredity,history_recruitment,m_m_sn_gt_1k,m_s_gt_500,m_p_sn_gt_2k,mod_sn_gt_500,history_ringing,s_sn_gt_2k,static_normal,m_s_sn_gt_3k,mod_sn_gt_2k,m_sn_gt_1k,late_wave_poor,m_at_2k,m_gt_1k,o_ar_u,m_m_gt_2k,m_s_sn,m_s_sn_gt_1k,m_s_sn_gt_2k,m_sn_gt_6k,m_sn_gt_500,mod_mixed,m_sn_lt_1k,middle_wave_poor,vmod_s_mixed,mod_sn,m_sn_gt_2k,tymp,mod_gt_4k,mod_s_sn_gt_500,s_sn_gt_4k,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
