index	highest_proba	outcome	cost_of_classification	used_features
0	0.991207977555814	0	2	gill_color,stalk_surface_above_ring
1	0.9960812887493916	0	2	ring_type,gill_size
2	0.9964084312605348	0	2	ring_type,gill_size
3	0.954246239959567	0	1	gill_color
4	0.9998943336680184	0	4	ring_type,gill_size,stalk_shape,gill_spacing
5	0.9964560388542946	0	2	ring_type,gill_size
6	0.9999701800997158	0	3	gill_color,stalk_surface_above_ring,population
7	0.9964084312605348	0	2	ring_type,gill_size
8	0.9689740437885996	1	13	ring_type,gill_size,stalk_shape,gill_spacing,habitat,cap_color,cap_shape,ring_number,veil_type,veil_color,gill_attachment,population,cap_surface
9	0.9907355387761424	0	3	gill_color,stalk_surface_above_ring,population
10	0.9999682428702276	0	3	gill_color,stalk_surface_above_ring,population
11	0.952507443771174	0	1	gill_color
12	0.9960812887493916	0	2	ring_type,gill_size
13	0.9708446036253072	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
14	0.9511089547159426	0	1	gill_color
15	0.9708446036253072	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
16	0.9999008684355642	0	4	ring_type,gill_size,stalk_shape,gill_spacing
17	0.954246239959567	0	1	gill_color
18	0.9699881398560776	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
19	0.991207977555814	0	2	gill_color,stalk_surface_above_ring
20	0.9961044268277632	0	2	ring_type,gill_size
21	0.978122211415678	1	14	ring_type,gill_size,stalk_shape,gill_spacing,habitat,cap_color,cap_shape,ring_number,veil_type,veil_color,cap_surface,gill_attachment,population,stalk_color_below_ring
22	0.990450541065933	0	2	gill_color,stalk_surface_above_ring
23	0.9964560388542946	0	2	ring_type,gill_size
24	0.9960812887493916	0	2	ring_type,gill_size
25	0.950738217779412	1	14	ring_type,gill_size,stalk_shape,gill_spacing,habitat,cap_color,cap_shape,ring_number,veil_type,stalk_color_above_ring,gill_attachment,population,cap_surface,veil_color
26	0.952507443771174	0	1	gill_color
27	0.9964560388542946	0	2	ring_type,gill_size
28	0.991207977555814	0	2	gill_color,stalk_surface_above_ring
29	0.9519346563722112	0	1	gill_color
30	0.9964331990238194	0	2	ring_type,gill_size
31	0.9913980984779284	0	2	gill_color,stalk_surface_above_ring
32	0.952507443771174	0	1	gill_color
33	0.9964331990238194	0	2	ring_type,gill_size
34	0.954246239959567	0	1	gill_color
35	0.9895654220674296	0	5	ring_type,gill_size,stalk_shape,gill_spacing,cap_shape
36	0.9699881398560776	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
37	0.9842013100197814	0	17	ring_type,gill_size,stalk_shape,population,gill_spacing,cap_shape,stalk_color_below_ring,cap_color,cap_surface,ring_number,gill_attachment,veil_type,veil_color,habitat,stalk_color_above_ring,stalk_root,gill_color
38	0.958617211700872	0	2	gill_color,stalk_surface_above_ring
39	0.9960812887493916	0	2	ring_type,gill_size
40	0.954246239959567	0	1	gill_color
41	0.954246239959567	0	1	gill_color
42	0.971131779194244	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
43	0.9609998461533196	0	2	gill_color,stalk_surface_above_ring
44	0.9959145707633325	0	2	gill_color,stalk_surface_above_ring
45	0.9964331990238194	0	2	ring_type,gill_size
46	0.9964560388542946	0	2	ring_type,gill_size
47	0.9963435374658004	0	2	ring_type,gill_size
48	0.9964331990238194	0	2	ring_type,gill_size
49	0.9958101014141943	0	2	gill_color,stalk_surface_above_ring
50	0.9959145707633325	0	2	gill_color,stalk_surface_above_ring
51	0.9964560388542946	0	2	ring_type,gill_size
52	0.990450541065933	0	2	gill_color,stalk_surface_above_ring
53	0.9699881398560776	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
54	0.9699881398560776	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
55	0.9964560388542946	0	2	ring_type,gill_size
56	0.9998943336680184	0	4	ring_type,gill_size,stalk_shape,gill_spacing
57	0.9964331990238194	0	2	ring_type,gill_size
58	0.991207977555814	0	2	gill_color,stalk_surface_above_ring
59	0.9964331990238194	0	2	ring_type,gill_size
60	0.972876218480494	1	5	ring_type,gill_size,stalk_shape,population,gill_spacing
61	0.990450541065933	0	2	gill_color,stalk_surface_above_ring
62	0.9961044268277632	0	2	ring_type,gill_size
63	0.9960812887493916	0	2	ring_type,gill_size
64	0.9960812887493916	0	2	ring_type,gill_size
65	0.988784599856312	0	4	ring_type,gill_size,stalk_shape,stalk_color_above_ring
66	0.9519346563722112	0	1	gill_color
67	0.9961044268277632	0	2	ring_type,gill_size
68	0.9963435374658004	0	2	ring_type,gill_size
69	0.9558941934838574	0	2	gill_color,stalk_surface_above_ring
70	0.9609998461533196	0	2	gill_color,stalk_surface_above_ring
71	0.9964331990238194	0	2	ring_type,gill_size
72	0.989066869861191	0	5	ring_type,gill_size,stalk_shape,gill_spacing,cap_shape
73	0.9961044268277632	0	2	ring_type,gill_size
74	0.9961044268277632	0	2	ring_type,gill_size
75	0.989066869861191	0	5	ring_type,gill_size,stalk_shape,gill_spacing,cap_shape
76	0.9565209689796734	0	6	ring_type,gill_size,stalk_shape,gill_spacing,population,stalk_surface_below_ring
77	0.9964084312605348	0	2	ring_type,gill_size
78	0.971131779194244	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
79	0.954246239959567	0	1	gill_color
80	0.9998985992019372	0	4	ring_type,gill_size,stalk_shape,gill_spacing
81	0.9960060484007748	0	2	gill_color,stalk_surface_above_ring
82	0.970428410145178	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
83	0.9999130876189394	0	4	ring_type,gill_size,stalk_shape,gill_spacing
84	0.9963435374658004	0	2	ring_type,gill_size
85	0.991207977555814	0	2	gill_color,stalk_surface_above_ring
86	0.9963435374658004	0	2	ring_type,gill_size
87	0.9964084312605348	0	2	ring_type,gill_size
88	0.9958701727672372	0	2	gill_color,stalk_surface_above_ring
89	0.971131779194244	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
90	0.9511089547159426	0	1	gill_color
91	0.9964331990238194	0	2	ring_type,gill_size
92	0.9899269240648376	0	3	gill_color,stalk_surface_above_ring,population
93	0.9964560388542946	0	2	ring_type,gill_size
94	0.9519346563722112	0	1	gill_color
95	0.9907355387761424	0	3	gill_color,stalk_surface_above_ring,population
96	0.9963435374658004	0	2	ring_type,gill_size
97	0.9964084312605348	0	2	ring_type,gill_size
98	0.9963435374658004	0	2	ring_type,gill_size
99	0.9963435374658004	0	2	ring_type,gill_size
100	0.9999130876189394	0	4	ring_type,gill_size,stalk_shape,gill_spacing
101	0.9964560388542946	0	2	ring_type,gill_size
102	0.9958701727672372	0	2	gill_color,stalk_surface_above_ring
103	0.954246239959567	0	1	gill_color
104	0.9999699336949768	0	3	gill_color,stalk_surface_above_ring,population
105	0.9963435374658004	0	2	ring_type,gill_size
106	0.9959145707633325	0	2	gill_color,stalk_surface_above_ring
107	0.9960812887493916	0	2	ring_type,gill_size
108	0.9907355387761424	0	3	gill_color,stalk_surface_above_ring,population
109	0.9913980984779284	0	2	gill_color,stalk_surface_above_ring
110	0.9958701727672372	0	2	gill_color,stalk_surface_above_ring
111	0.990810723744348	0	3	gill_color,stalk_surface_above_ring,population
112	0.9958101014141943	0	2	gill_color,stalk_surface_above_ring
113	0.9961044268277632	0	2	ring_type,gill_size
114	0.972876218480494	1	5	ring_type,gill_size,stalk_shape,population,gill_spacing
115	0.9604025553540696	0	2	gill_color,stalk_surface_above_ring
116	0.9928441127485064	0	7	ring_type,gill_size,stalk_shape,stalk_color_below_ring,gill_spacing,population,cap_shape
117	0.9960812887493916	0	2	ring_type,gill_size
118	0.958617211700872	0	2	gill_color,stalk_surface_above_ring
119	0.9699881398560776	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
120	0.978940677945148	1	7	ring_type,gill_size,stalk_shape,stalk_color_below_ring,gill_spacing,population,cap_shape
121	0.9999701800997158	0	3	gill_color,stalk_surface_above_ring,population
122	0.9826630959601356	1	7	ring_type,gill_size,stalk_shape,stalk_color_below_ring,gill_spacing,population,cap_shape
123	0.9999008684355642	0	4	ring_type,gill_size,stalk_shape,gill_spacing
124	0.9897047847302446	0	3	gill_color,stalk_surface_above_ring,population
125	0.9998985992019372	0	4	ring_type,gill_size,stalk_shape,gill_spacing
126	0.9958701727672372	0	2	gill_color,stalk_surface_above_ring
127	0.999564922271581	0	3	gill_color,stalk_surface_above_ring,gill_spacing
128	0.9964560388542946	0	2	ring_type,gill_size
129	0.9960812887493916	0	2	ring_type,gill_size
130	0.9960060484007748	0	2	gill_color,stalk_surface_above_ring
131	0.9961044268277632	0	2	ring_type,gill_size
132	0.9960060484007748	0	2	gill_color,stalk_surface_above_ring
133	0.9897047847302446	0	3	gill_color,stalk_surface_above_ring,population
134	0.9609998461533196	0	2	gill_color,stalk_surface_above_ring
135	0.970428410145178	1	5	ring_type,gill_size,stalk_shape,gill_spacing,habitat
136	0.9960060484007748	0	2	gill_color,stalk_surface_above_ring
137	0.9964084312605348	0	2	ring_type,gill_size
