index	highest_proba	outcome	cost_of_classification	used_features
0	0.9196359725075464	2	1	buying
1	0.9192474416996196	2	1	buying
2	0.9130303319312496	2	1	buying
3	0.9189582179111636	2	1	buying
4	0.9205698230256588	2	1	buying
5	0.9130303319312496	2	1	buying
6	0.9156132809368348	2	1	buying
7	0.9205698230256588	2	1	buying
8	0.9156132809368348	2	1	buying
9	0.915384828244136	2	1	buying
10	0.9196359725075464	2	1	buying
11	0.9189582179111636	2	1	buying
12	0.915139504125557	2	1	buying
13	0.9164136638245786	2	1	buying
14	0.9189582179111636	2	1	buying
15	0.915139504125557	2	1	buying
16	0.9196359725075464	2	1	buying
17	0.9196359725075464	2	1	buying
18	0.9208581488445764	2	1	buying
19	0.9130303319312496	2	1	buying
20	0.9189582179111636	2	1	buying
21	0.9196359725075464	2	1	buying
22	0.9205698230256588	2	1	buying
23	0.9196359725075464	2	1	buying
24	0.915139504125557	2	1	buying
25	0.9130303319312496	2	1	buying
26	0.915139504125557	2	1	buying
27	0.9208581488445764	2	1	buying
28	0.9208581488445764	2	1	buying
29	0.9189582179111636	2	1	buying
30	0.915139504125557	2	1	buying
31	0.9192474416996196	2	1	buying
32	0.9208581488445764	2	1	buying
33	0.9189582179111636	2	1	buying
34	0.9130303319312496	2	1	buying
35	0.9156132809368348	2	1	buying
36	0.9192474416996196	2	1	buying
37	0.9208581488445764	2	1	buying
38	0.9196359725075464	2	1	buying
39	0.9205698230256588	2	1	buying
40	0.9205698230256588	2	1	buying
41	0.9192474416996196	2	1	buying
42	0.915139504125557	2	1	buying
43	0.915384828244136	2	1	buying
44	0.9156132809368348	2	1	buying
45	0.9192474416996196	2	1	buying
46	0.9189582179111636	2	1	buying
47	0.915384828244136	2	1	buying
48	0.9192474416996196	2	1	buying
49	0.9208581488445764	2	1	buying
50	0.9208581488445764	2	1	buying
51	0.9189582179111636	2	1	buying
52	0.915139504125557	2	1	buying
53	0.9130303319312496	2	1	buying
54	0.9164136638245786	2	1	buying
55	0.9164136638245786	2	1	buying
56	0.9196359725075464	2	1	buying
57	0.915384828244136	2	1	buying
58	0.9164136638245786	2	1	buying
59	0.9130303319312496	2	1	buying
60	0.9164136638245786	2	1	buying
61	0.9189582179111636	2	1	buying
62	0.915384828244136	2	1	buying
63	0.9156132809368348	2	1	buying
64	0.9130303319312496	2	1	buying
65	0.9156132809368348	2	1	buying
66	0.9189582179111636	2	1	buying
67	0.915139504125557	2	1	buying
68	0.9196359725075464	2	1	buying
69	0.9208581488445764	2	1	buying
70	0.915384828244136	2	1	buying
71	0.9164136638245786	2	1	buying
72	0.9192474416996196	2	1	buying
73	0.9164136638245786	2	1	buying
74	0.9192474416996196	2	1	buying
75	0.9156132809368348	2	1	buying
76	0.9164136638245786	2	1	buying
77	0.9192474416996196	2	1	buying
78	0.915139504125557	2	1	buying
79	0.9208581488445764	2	1	buying
80	0.9189582179111636	2	1	buying
81	0.9164136638245786	2	1	buying
82	0.9192474416996196	2	1	buying
83	0.9130303319312496	2	1	buying
84	0.9156132809368348	2	1	buying
85	0.9164136638245786	2	1	buying
86	0.9130303319312496	2	1	buying
87	0.915384828244136	2	1	buying
88	0.915139504125557	2	1	buying
89	0.9192474416996196	2	1	buying
90	0.9208581488445764	2	1	buying
91	0.9208581488445764	2	1	buying
92	0.915384828244136	2	1	buying
93	0.9130303319312496	2	1	buying
94	0.9192474416996196	2	1	buying
95	0.9208581488445764	2	1	buying
96	0.915139504125557	2	1	buying
97	0.915384828244136	2	1	buying
98	0.915384828244136	2	1	buying
99	0.915139504125557	2	1	buying
100	0.9130303319312496	2	1	buying
101	0.9130303319312496	2	1	buying
102	0.9164136638245786	2	1	buying
103	0.9156132809368348	2	1	buying
104	0.9130303319312496	2	1	buying
105	0.9205698230256588	2	1	buying
106	0.9156132809368348	2	1	buying
107	0.9196359725075464	2	1	buying
108	0.9205698230256588	2	1	buying
109	0.915139504125557	2	1	buying
110	0.9156132809368348	2	1	buying
111	0.9208581488445764	2	1	buying
112	0.915384828244136	2	1	buying
113	0.9189582179111636	2	1	buying
114	0.915139504125557	2	1	buying
115	0.915384828244136	2	1	buying
116	0.9192474416996196	2	1	buying
117	0.9192474416996196	2	1	buying
118	0.9189582179111636	2	1	buying
119	0.9164136638245786	2	1	buying
120	0.915139504125557	2	1	buying
121	0.9164136638245786	2	1	buying
122	0.9205698230256588	2	1	buying
123	0.9130303319312496	2	1	buying
124	0.9208581488445764	2	1	buying
125	0.9164136638245786	2	1	buying
126	0.9205698230256588	2	1	buying
127	0.9196359725075464	2	1	buying
128	0.9189582179111636	2	1	buying
129	0.9164136638245786	2	1	buying
130	0.9208581488445764	2	1	buying
131	0.9208581488445764	2	1	buying
132	0.9192474416996196	2	1	buying
133	0.9164136638245786	2	1	buying
134	0.9205698230256588	2	1	buying
135	0.915139504125557	2	1	buying
136	0.9196359725075464	2	1	buying
137	0.9164136638245786	2	1	buying
138	0.9156132809368348	2	1	buying
139	0.9192474416996196	2	1	buying
140	0.9130303319312496	2	1	buying
141	0.9164136638245786	2	1	buying
142	0.9189582179111636	2	1	buying
143	0.9156132809368348	2	1	buying
144	0.9196359725075464	2	1	buying
145	0.9189582179111636	2	1	buying
146	0.9196359725075464	2	1	buying
147	0.9164136638245786	2	1	buying
148	0.915139504125557	2	1	buying
149	0.9164136638245786	2	1	buying
150	0.9205698230256588	2	1	buying
151	0.9205698230256588	2	1	buying
152	0.9189582179111636	2	1	buying
153	0.9205698230256588	2	1	buying
154	0.9130303319312496	2	1	buying
155	0.9205698230256588	2	1	buying
156	0.9196359725075464	2	1	buying
157	0.915139504125557	2	1	buying
158	0.915384828244136	2	1	buying
159	0.9189582179111636	2	1	buying
160	0.9192474416996196	2	1	buying
161	0.9205698230256588	2	1	buying
162	0.9156132809368348	2	1	buying
163	0.9189582179111636	2	1	buying
164	0.9130303319312496	2	1	buying
165	0.915139504125557	2	1	buying
166	0.9189582179111636	2	1	buying
167	0.9196359725075464	2	1	buying
168	0.9196359725075464	2	1	buying
169	0.9189582179111636	2	1	buying
170	0.9208581488445764	2	1	buying
171	0.9164136638245786	2	1	buying
172	0.9208581488445764	2	1	buying
173	0.9189582179111636	2	1	buying
174	0.9192474416996196	2	1	buying
175	0.9192474416996196	2	1	buying
176	0.9130303319312496	2	1	buying
177	0.9164136638245786	2	1	buying
178	0.9208581488445764	2	1	buying
179	0.9196359725075464	2	1	buying
180	0.9192474416996196	2	1	buying
181	0.9156132809368348	2	1	buying
