	highest_proba	outcome	cost_of_classification	used_features
1	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
13	0.9102556680477342	7	3	o_ar_c,history_noise,notch_at_4k
14	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
34	0.9689147587198519	14	6	o_ar_c,history_noise,air,airBoneGap,ar_u,bone
37	0.9571590571102134	7	13	o_ar_c,history_noise,air,airBoneGap,ar_c,ar_u,notch_at_4k,o_ar_u,tymp,bone,notch_4k,history_nausea,m_sn_gt_4k
46	0.9770789781916748	9	6	o_ar_c,history_noise,air,airBoneGap,ar_u,bone
47	0.9033020376387821	2	5	o_ar_c,history_noise,air,airBoneGap,ar_u
57	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
58	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
97	0.9850834426569592	7	6	o_ar_c,history_noise,notch_4k,notch_at_4k,air,history_vomiting
111	0.9689147587198519	14	6	o_ar_c,history_noise,air,airBoneGap,ar_u,bone
115	0.7157759382914142	7	67	o_ar_c,history_noise,air,airBoneGap,ar_c,ar_u,notch_at_4k,bone,tymp,o_ar_u,notch_4k,bser,m_sn_gt_4k,history_vomiting,mod_sn_gt_3k,m_sn_lt_3k,m_m_sn_gt_2k,m_s_sn_gt_4k,history_nausea,m_s_sn_gt_3k,history_buzzing,mod_sn_gt_2k,m_m_sn,boneAbnormal,history_roaring,mod_sn_gt_4k,history_dizziness,history_fluctuating,history_fullness,history_heredity,history_recruitment,history_ringing,m_cond_lt_1k,m_m_gt_2k,m_m_sn_gt_1k,m_m_sn_gt_500,m_p_sn_gt_2k,m_sn_gt_3k,m_s_gt_500,late_wave_poor,m_at_2k,m_s_sn_gt_1k,mod_sn_gt_500,m_sn_2_3k,m_gt_1k,m_s_sn,mod_gt_4k,m_s_sn_gt_2k,m_sn_gt_1k,m_sn_gt_500,m_sn_gt_2k,s_sn_gt_2k,m_sn_gt_6k,mod_mixed,m_sn_lt_1k,vmod_s_mixed,m_sn_lt_2k,mod_sn,middle_wave_poor,mod_s_sn_gt_500,mod_sn_gt_1k,s_sn_gt_1k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
125	0.620991903317102	7	67	o_ar_c,history_noise,notch_4k,notch_at_4k,air,history_vomiting,ar_u,m_sn_gt_1k,bone,ar_c,o_ar_u,m_m_sn,m_s_sn_gt_4k,m_sn_lt_3k,mod_sn_gt_3k,m_m_sn_gt_2k,m_sn_gt_4k,m_sn_gt_3k,m_m_sn_gt_500,m_sn_2_3k,s_sn_gt_2k,bser,history_nausea,m_s_sn_gt_3k,airBoneGap,mod_sn_gt_4k,history_buzzing,m_m_gt_2k,m_m_sn_gt_1k,history_fluctuating,m_s_gt_500,mod_sn_gt_500,mod_sn_gt_2k,history_fullness,mod_gt_4k,history_dizziness,static_normal,history_heredity,history_roaring,history_recruitment,history_ringing,late_wave_poor,m_cond_lt_1k,m_p_sn_gt_2k,boneAbnormal,m_at_2k,m_gt_1k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_1k,m_sn_gt_500,m_sn_gt_6k,mod_mixed,m_sn_lt_1k,m_sn_gt_2k,m_sn_lt_2k,middle_wave_poor,vmod_s_mixed,mod_s_sn_gt_500,mod_sn,mod_sn_gt_1k,s_sn_gt_1k,s_sn_gt_4k,tymp,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
137	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
145	0.9973211256466052	6	4	o_ar_c,history_noise,notch_4k,notch_at_4k
147	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
160	0.9248441809898399	7	8	o_ar_c,history_noise,notch_4k,notch_at_4k,o_ar_u,air,m_m_sn_gt_1k,ar_u
161	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
171	0.955240757537812	7	3	o_ar_c,history_noise,notch_4k
194	0.9071604916212366	2	8	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,mod_sn_gt_3k,mod_sn_gt_4k,m_sn_2_3k
