index	highest_proba	outcome	cost_of_classification	used_features
0	0.9777344150557392	7	2	age_gt_60,history_noise
1	0.9791385944038083	7	2	age_gt_60,history_noise
2	0.9193830057079068	2	1	age_gt_60
3	0.9233835743429828	2	1	age_gt_60
4	0.9180119282570594	2	1	age_gt_60
5	0.9065210131948584	2	1	age_gt_60
6	0.9798199117075912	7	2	age_gt_60,history_noise
7	0.9777344150557392	7	2	age_gt_60,history_noise
8	0.9790320424553988	7	2	age_gt_60,history_noise
9	0.9233835743429828	2	1	age_gt_60
10	0.9233835743429828	2	1	age_gt_60
11	0.9232838941712505	2	1	age_gt_60
12	0.9779476329243618	7	2	age_gt_60,history_noise
13	0.977902621083178	7	2	age_gt_60,history_noise
14	0.9233835743429828	2	1	age_gt_60
15	0.9065210131948584	2	1	age_gt_60
16	0.9903587591408316	6	3	age_gt_60,history_noise,notch_at_4k
17	0.983487629362592	7	4	age_gt_60,history_noise,air,notch_4k
18	0.9790320424553988	7	2	age_gt_60,history_noise
19	0.977902621083178	7	2	age_gt_60,history_noise
20	0.9245165504498404	2	1	age_gt_60
21	0.9245165504498404	2	1	age_gt_60
22	0.9966007478250208	7	4	age_gt_60,history_noise,notch_4k,notch_at_4k
23	0.9779321317190892	7	2	age_gt_60,history_noise
24	0.9790830670954722	7	2	age_gt_60,history_noise
25	0.9779476329243618	7	2	age_gt_60,history_noise
26	0.9798199117075912	7	2	age_gt_60,history_noise
27	0.9829236822618465	7	4	age_gt_60,history_noise,air,notch_4k
28	0.9779321317190892	7	2	age_gt_60,history_noise
29	0.9780788154353436	7	2	age_gt_60,history_noise
30	0.9832430374347576	7	3	age_gt_60,history_noise,notch_at_4k
31	0.9790320424553988	7	2	age_gt_60,history_noise
32	0.9779321317190892	7	2	age_gt_60,history_noise
33	0.9790830670954722	7	2	age_gt_60,history_noise
34	0.9790320424553988	7	2	age_gt_60,history_noise
35	0.9790830670954722	7	2	age_gt_60,history_noise
36	0.9180119282570594	2	1	age_gt_60
37	0.9780788154353436	7	2	age_gt_60,history_noise
38	0.977902621083178	7	2	age_gt_60,history_noise
39	0.9245165504498404	2	1	age_gt_60
40	0.9233835743429828	2	1	age_gt_60
41	0.9798199117075912	7	2	age_gt_60,history_noise
42	0.9180119282570594	2	1	age_gt_60
43	0.975292527533976	7	2	age_gt_60,history_noise
44	0.9791385944038083	7	2	age_gt_60,history_noise
45	0.9798199117075912	7	2	age_gt_60,history_noise
46	0.9779321317190892	7	2	age_gt_60,history_noise
47	0.977902621083178	7	2	age_gt_60,history_noise
48	0.9777344150557392	7	2	age_gt_60,history_noise
49	0.9193830057079068	2	1	age_gt_60
50	0.9233835743429828	2	1	age_gt_60
51	0.9232838941712505	2	1	age_gt_60
52	0.9798199117075912	7	2	age_gt_60,history_noise
53	0.9777344150557392	7	2	age_gt_60,history_noise
54	0.9791385944038083	7	2	age_gt_60,history_noise
55	0.9780788154353436	7	2	age_gt_60,history_noise
56	0.9790320424553988	7	2	age_gt_60,history_noise
57	0.9180119282570594	2	1	age_gt_60
58	0.9066863634882978	2	1	age_gt_60
59	0.9320987022317836	7	4	age_gt_60,history_noise,air,notch_4k
60	0.9172846481483794	7	3	age_gt_60,history_noise,notch_4k
61	0.9180104775870304	2	1	age_gt_60
62	0.9232838941712505	2	1	age_gt_60
63	0.9790320424553988	7	2	age_gt_60,history_noise
64	0.9779476329243618	7	2	age_gt_60,history_noise
65	0.9777344150557392	7	2	age_gt_60,history_noise
66	0.9790830670954722	7	2	age_gt_60,history_noise
67	0.9232838941712505	2	1	age_gt_60
68	0.9180119282570594	2	1	age_gt_60
69	0.9790830670954722	7	2	age_gt_60,history_noise
70	0.9790320424553988	7	2	age_gt_60,history_noise
71	0.975292527533976	7	2	age_gt_60,history_noise
72	0.9066863634882978	2	1	age_gt_60
73	0.9233835743429828	2	1	age_gt_60
74	0.9182333167230846	2	1	age_gt_60
75	0.9779321317190892	7	2	age_gt_60,history_noise
76	0.977902621083178	7	2	age_gt_60,history_noise
77	0.9848316504696304	7	4	age_gt_60,history_noise,speech,notch_at_4k
78	0.9119521384393172	7	3	age_gt_60,history_noise,notch_4k
79	0.9779476329243618	7	2	age_gt_60,history_noise
80	0.9779476329243618	7	2	age_gt_60,history_noise
81	0.9791385944038083	7	2	age_gt_60,history_noise
82	0.9780788154353436	7	2	age_gt_60,history_noise
83	0.9245165504498404	2	1	age_gt_60
84	0.9695480898848235	7	3	age_gt_60,history_noise,notch_at_4k
85	0.947279065780154	7	4	age_gt_60,history_noise,bone,notch_4k
86	0.9798199117075912	7	2	age_gt_60,history_noise
87	0.9777344150557392	7	2	age_gt_60,history_noise
88	0.9777344150557392	7	2	age_gt_60,history_noise
89	0.977902621083178	7	2	age_gt_60,history_noise
90	0.9780788154353436	7	2	age_gt_60,history_noise
91	0.9791385944038083	7	2	age_gt_60,history_noise
92	0.9791385944038083	7	2	age_gt_60,history_noise
93	0.9558444946254532	6	5	age_gt_60,history_noise,bone,notch_4k,notch_at_4k
94	0.9065210131948584	2	1	age_gt_60
95	0.9790320424553988	7	2	age_gt_60,history_noise
96	0.9066863634882978	2	1	age_gt_60
97	0.9065210131948584	2	1	age_gt_60
98	0.9221307253184624	7	3	age_gt_60,history_noise,notch_4k
99	0.9193830057079068	2	1	age_gt_60
100	0.9832430374347576	7	3	age_gt_60,history_noise,notch_at_4k
101	0.9790830670954722	7	2	age_gt_60,history_noise
102	0.975292527533976	7	2	age_gt_60,history_noise
103	0.9182333167230846	2	1	age_gt_60
104	0.9245165504498404	2	1	age_gt_60
105	0.9695480898848235	7	3	age_gt_60,history_noise,notch_at_4k
106	0.9355134058223316	7	3	age_gt_60,history_noise,notch_4k
107	0.9780788154353436	7	2	age_gt_60,history_noise
108	0.975292527533976	7	2	age_gt_60,history_noise
109	0.9832430374347576	7	3	age_gt_60,history_noise,notch_at_4k
110	0.975292527533976	7	2	age_gt_60,history_noise
111	0.975292527533976	7	2	age_gt_60,history_noise
112	0.9790830670954722	7	2	age_gt_60,history_noise
113	0.9779476329243618	7	2	age_gt_60,history_noise
114	0.9233835743429828	2	1	age_gt_60
115	0.9066863634882978	2	1	age_gt_60
116	0.9777344150557392	7	2	age_gt_60,history_noise
117	0.9798199117075912	7	2	age_gt_60,history_noise
118	0.9232838941712505	2	1	age_gt_60
119	0.9798199117075912	7	2	age_gt_60,history_noise
120	0.9791385944038083	7	2	age_gt_60,history_noise
121	0.9180104775870304	2	1	age_gt_60
122	0.9065210131948584	2	1	age_gt_60
123	0.9779321317190892	7	2	age_gt_60,history_noise
124	0.9780788154353436	7	2	age_gt_60,history_noise
125	0.9941846585304468	7	4	age_gt_60,history_noise,speech,notch_at_4k
126	0.9233835743429828	2	1	age_gt_60
127	0.9182333167230846	2	1	age_gt_60
128	0.9182333167230846	2	1	age_gt_60
129	0.9193830057079068	2	1	age_gt_60
130	0.9779476329243618	7	2	age_gt_60,history_noise
131	0.9065210131948584	2	1	age_gt_60
132	0.975292527533976	7	2	age_gt_60,history_noise
133	0.9790320424553988	7	2	age_gt_60,history_noise
134	0.9790830670954722	7	2	age_gt_60,history_noise
135	0.9193830057079068	2	1	age_gt_60
136	0.9791385944038083	7	2	age_gt_60,history_noise
137	0.9798199117075912	7	2	age_gt_60,history_noise
138	0.9233835743429828	2	1	age_gt_60
139	0.9180104775870304	2	1	age_gt_60
140	0.9791385944038083	7	2	age_gt_60,history_noise
141	0.9180119282570594	2	1	age_gt_60
142	0.9182333167230846	2	1	age_gt_60
143	0.9429323421423044	7	4	age_gt_60,history_noise,air,notch_4k
144	0.9066863634882978	2	1	age_gt_60
145	0.9221307253184624	7	3	age_gt_60,history_noise,notch_4k
146	0.9221307253184624	7	3	age_gt_60,history_noise,notch_4k
147	0.9798199117075912	7	2	age_gt_60,history_noise
148	0.975292527533976	7	2	age_gt_60,history_noise
149	0.9780788154353436	7	2	age_gt_60,history_noise
150	0.9193830057079068	2	1	age_gt_60
151	0.9639111408365704	7	4	age_gt_60,history_noise,air,notch_4k
152	0.937688513724076	6	4	age_gt_60,history_noise,speech,notch_at_4k
153	0.9193830057079068	2	1	age_gt_60
154	0.9933800341973166	7	5	age_gt_60,history_noise,bone,notch_4k,notch_at_4k
155	0.9066863634882978	2	1	age_gt_60
156	0.94825628076238	7	4	age_gt_60,history_noise,bone,notch_4k
157	0.9065210131948584	2	1	age_gt_60
158	0.9193830057079068	2	1	age_gt_60
159	0.9233835743429828	2	1	age_gt_60
160	0.9233835743429828	2	1	age_gt_60
161	0.9245165504498404	2	1	age_gt_60
162	0.9065210131948584	2	1	age_gt_60
163	0.9180104775870304	2	1	age_gt_60
164	0.9182333167230846	2	1	age_gt_60
