index	highest_proba	outcome	cost_of_classification	used_features
0	0.9178213210997056	2	1	buying
1	0.920883170781517	2	1	buying
2	0.920883170781517	2	1	buying
3	0.9199191393457724	2	1	buying
4	0.9134587713081777	2	1	buying
5	0.9199191393457724	2	1	buying
6	0.920883170781517	2	1	buying
7	0.9133679307809937	2	1	buying
8	0.920883170781517	2	1	buying
9	0.9178213210997056	2	1	buying
10	0.9131899757188382	2	1	buying
11	0.9236630730927654	2	1	buying
12	0.9134587713081777	2	1	buying
13	0.9159336667124768	2	1	buying
14	0.920883170781517	2	1	buying
15	0.9159336667124768	2	1	buying
16	0.9134587713081777	2	1	buying
17	0.9201535972729014	2	1	buying
18	0.9199191393457724	2	1	buying
19	0.9164907657308236	2	1	buying
20	0.9236630730927654	2	1	buying
21	0.9131899757188382	2	1	buying
22	0.9159336667124768	2	1	buying
23	0.9131899757188382	2	1	buying
24	0.9164907657308236	2	1	buying
25	0.920883170781517	2	1	buying
26	0.9133679307809937	2	1	buying
27	0.9164907657308236	2	1	buying
28	0.9131899757188382	2	1	buying
29	0.9199191393457724	2	1	buying
30	0.9159336667124768	2	1	buying
31	0.9201535972729014	2	1	buying
32	0.9178213210997056	2	1	buying
33	0.9133679307809937	2	1	buying
34	0.9201535972729014	2	1	buying
35	0.920883170781517	2	1	buying
36	0.9201535972729014	2	1	buying
37	0.9164907657308236	2	1	buying
38	0.9134587713081777	2	1	buying
39	0.9201535972729014	2	1	buying
40	0.9201535972729014	2	1	buying
41	0.920883170781517	2	1	buying
42	0.9164907657308236	2	1	buying
43	0.9131899757188382	2	1	buying
44	0.9133679307809937	2	1	buying
45	0.9134587713081777	2	1	buying
46	0.9201535972729014	2	1	buying
47	0.9131899757188382	2	1	buying
48	0.9134587713081777	2	1	buying
49	0.9199191393457724	2	1	buying
50	0.9131899757188382	2	1	buying
51	0.9199191393457724	2	1	buying
52	0.9236630730927654	2	1	buying
53	0.9131899757188382	2	1	buying
54	0.920883170781517	2	1	buying
55	0.9178213210997056	2	1	buying
56	0.9159336667124768	2	1	buying
57	0.920883170781517	2	1	buying
58	0.9134587713081777	2	1	buying
59	0.9236630730927654	2	1	buying
60	0.9164907657308236	2	1	buying
61	0.9133679307809937	2	1	buying
62	0.9134587713081777	2	1	buying
63	0.920883170781517	2	1	buying
64	0.9134587713081777	2	1	buying
65	0.9164907657308236	2	1	buying
66	0.9133679307809937	2	1	buying
