index	highest_proba	outcome	cost_of_classification	used_features
0	0.9965099279645012	1	1	odor
1	0.9971214358405934	0	1	odor
2	0.9970410949923194	0	1	odor
3	0.996546301618596	1	1	odor
4	0.9923665311749156	0	1	odor
5	0.9971033246611778	0	1	odor
6	0.997046054535838	0	1	odor
7	0.9971431537144608	0	1	odor
8	0.9965136519758456	1	1	odor
9	0.9971421259186732	0	1	odor
10	0.9970624767794994	0	1	odor
11	0.997046054535838	0	1	odor
12	0.9971033246611778	0	1	odor
13	0.9964511447055692	1	1	odor
14	0.9919998219563784	0	1	odor
15	0.9922536315217124	0	1	odor
16	0.9914994459109604	0	1	odor
17	0.9965136519758456	1	1	odor
18	0.9965099279645012	1	1	odor
19	0.996546301618596	1	1	odor
20	0.9971421259186732	0	1	odor
21	0.9964511447055692	1	1	odor
22	0.9971388300991072	0	1	odor
23	0.9970352809698024	0	1	odor
24	0.9970042982278242	0	1	odor
25	0.9965308502623772	1	1	odor
26	0.9971033246611778	0	1	odor
27	0.9970403623523146	0	1	odor
28	0.9922536315217124	0	1	odor
29	0.9971214358405934	0	1	odor
30	0.9971718763459558	0	1	odor
31	0.996690884610132	1	1	odor
32	0.9971431537144608	0	1	odor
33	0.9971718763459558	0	1	odor
34	0.9970042982278242	0	1	odor
35	0.9970624767794994	0	1	odor
36	0.992179725368974	0	1	odor
37	0.9965100411991004	1	1	odor
38	0.9970993729168434	0	1	odor
39	0.9970624767794994	0	1	odor
40	0.9971214358405934	0	1	odor
41	0.9972371652207148	0	1	odor
42	0.9918859052081253	0	1	odor
43	0.9965099279645012	1	1	odor
44	0.9971033246611778	0	1	odor
45	0.9971214358405934	0	1	odor
46	0.9970403623523146	0	1	odor
47	0.9971388300991072	0	1	odor
48	0.9972371652207148	0	1	odor
49	0.9971431537144608	0	1	odor
50	0.9971022973352462	0	1	odor
51	0.9970403623523146	0	1	odor
52	0.9971431537144608	0	1	odor
53	0.996546301618596	1	1	odor
54	0.9965100411991004	1	1	odor
55	0.9971094541764068	0	1	odor
56	0.992179725368974	0	1	odor
57	0.9970993729168434	0	1	odor
58	0.9972371652207148	0	1	odor
59	0.9971022973352462	0	1	odor
60	0.9919760473718876	0	1	odor
61	0.9971022973352462	0	1	odor
62	0.9971718763459558	0	1	odor
63	0.9971718763459558	0	1	odor
64	0.9971431537144608	0	1	odor
65	0.9914994459109604	0	1	odor
66	0.9970042982278242	0	1	odor
67	0.997046054535838	0	1	odor
68	0.9970993729168434	0	1	odor
69	0.9922536315217124	0	1	odor
70	0.9970403623523146	0	1	odor
71	0.9970403623523146	0	1	odor
72	0.9971718763459558	0	1	odor
73	0.9970993729168434	0	1	odor
74	0.9971022973352462	0	1	odor
75	0.9970403623523146	0	1	odor
76	0.9970042982278242	0	1	odor
77	0.997064169043562	0	1	odor
78	0.9965614582346428	1	1	odor
79	0.9971022973352462	0	1	odor
80	0.9919760473718876	0	1	odor
81	0.9965035927129704	1	1	odor
82	0.9922536315217124	0	1	odor
83	0.9920090417933458	0	1	odor
84	0.9970410949923194	0	1	odor
85	0.9914994459109604	0	1	odor
86	0.9971214358405934	0	1	odor
87	0.9972371652207148	0	1	odor
88	0.9970624767794994	0	1	odor
89	0.9920090417933458	0	1	odor
90	0.992179725368974	0	1	odor
91	0.9970624767794994	0	1	odor
92	0.9970352809698024	0	1	odor
93	0.9970626093704282	0	1	odor
94	0.9919760473718876	0	1	odor
95	0.997059240321812	0	1	odor
96	0.9971431537144608	0	1	odor
97	0.9970352809698024	0	1	odor
98	0.9971094541764068	0	1	odor
99	0.9971022973352462	0	1	odor
100	0.9919998219563784	0	1	odor
101	0.9970410949923194	0	1	odor
102	0.9972371652207148	0	1	odor
103	0.997046054535838	0	1	odor
104	0.9970042982278242	0	1	odor
105	0.997059240321812	0	1	odor
106	0.9971563815829432	0	1	odor
107	0.9971388300991072	0	1	odor
108	0.9970352809698024	0	1	odor
109	0.9971022973352462	0	1	odor
110	0.9970410949923194	0	1	odor
111	0.9915159431828192	0	1	odor
112	0.9970993729168434	0	1	odor
113	0.9971563815829432	0	1	odor
114	0.9965100411991004	1	1	odor
115	0.9970626093704282	0	1	odor
116	0.9919760473718876	0	1	odor
117	0.9972371652207148	0	1	odor
118	0.9970624767794994	0	1	odor
119	0.9923665311749156	0	1	odor
120	0.9965099279645012	1	1	odor
121	0.9971033246611778	0	1	odor
122	0.9965099279645012	1	1	odor
123	0.9919720666032024	0	1	odor
124	0.9970403623523146	0	1	odor
125	0.9922536315217124	0	1	odor
126	0.9971094541764068	0	1	odor
127	0.9919720666032024	0	1	odor
128	0.9970042982278242	0	1	odor
129	0.9970410949923194	0	1	odor
