index	highest_proba	outcome	cost_of_classification	used_features
0	0.8500814913355821	7.0	64	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k,m_sn_gt_4k,m_s_gt_500,history_nausea,history_roaring,m_m_sn,history_vomiting,mod_sn_gt_2k,mod_sn_gt_4k,airBoneGap,mod_sn_gt_500,m_m_sn_gt_1k,m_sn_gt_3k,ar_c,history_buzzing,history_dizziness,m_m_sn_gt_500,notch_4k,boneAbnormal,m_s_sn_gt_1k,m_sn_2_3k,history_fluctuating,m_sn_gt_6k,m_sn_lt_2k,m_sn_gt_1k,m_sn_gt_2k,history_fullness,mod_gt_4k,m_sn_lt_3k,history_heredity,m_m_gt_2k,mod_mixed,history_recruitment,vmod_s_mixed,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_3k,m_s_sn_gt_2k,m_s_sn_gt_4k,mod_sn_gt_1k,mod_sn,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,tymp
1	0.8644976488837111	2.0	19	speech,history_noise,notch_at_4k,o_ar_c,mod_sn_gt_3k,ar_c,notch_4k,history_dizziness,ar_u,airBoneGap,bser,history_vomiting,history_nausea,m_sn_gt_3k,m_m_sn,history_roaring,boneAbnormal,mod_sn_gt_4k,mod_sn_gt_500
2	0.9371964853637488	7.0	4	speech,history_noise,air,o_ar_c
3	0.9475690896380128	7.0	3	speech,notch_at_4k,o_ar_c
4	0.8653663411561295	2.0	7	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,ar_u,mod_sn_gt_3k
5	0.8653663411561295	2.0	7	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,ar_u,mod_sn_gt_3k
6	0.8653663411561295	2.0	7	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,ar_u,mod_sn_gt_3k
7	0.9325268337103156	2.0	5	o_ar_c,history_noise,notch_4k,notch_at_4k,speech
8	0.9623609516609856	7.0	4	speech,history_noise,notch_at_4k,o_ar_c
9	0.8678849300578283	2.0	6	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_1k,ar_u
10	0.9325268337103156	2.0	5	o_ar_c,history_noise,notch_4k,notch_at_4k,speech
11	0.8536001675067365	2.0	12	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_1k,ar_u,bser,mod_sn_gt_3k,airBoneGap,history_nausea,history_buzzing,history_vomiting
12	0.8557284107023748	7.0	18	speech,history_noise,air,o_ar_c,notch_4k,notch_at_4k,ar_u,o_ar_u,bser,mod_sn_gt_3k,mod_sn_gt_500,m_cond_lt_1k,history_vomiting,airBoneGap,m_sn_gt_3k,m_m_gt_2k,history_nausea,m_sn_gt_4k
13	0.863962429924449	7.0	5	speech,history_noise,air,o_ar_c,notch_4k
14	0.9013116089785989	2.0	5	speech,history_noise,notch_at_4k,o_ar_c,mod_sn_gt_3k
15	0.8656819874712406	2.0	4	o_ar_c,history_noise,air,speech
16	0.9975290399472636	6.0	4	o_ar_c,history_noise,notch_4k,notch_at_4k
17	0.9982398182839514	6.0	4	o_ar_c,history_noise,notch_4k,notch_at_4k
18	0.8544446788676823	7.0	60	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k,m_sn_gt_4k,m_s_gt_500,history_nausea,history_roaring,m_m_sn,history_vomiting,mod_sn_gt_2k,mod_sn_gt_4k,airBoneGap,mod_sn_gt_500,m_m_sn_gt_1k,m_sn_gt_3k,ar_c,history_buzzing,history_dizziness,m_m_sn_gt_500,notch_4k,boneAbnormal,m_s_sn_gt_1k,m_sn_2_3k,history_fluctuating,m_sn_gt_6k,m_sn_lt_2k,m_sn_gt_1k,m_sn_gt_2k,history_fullness,mod_gt_4k,m_sn_lt_3k,history_heredity,m_m_gt_2k,mod_mixed,history_recruitment,vmod_s_mixed,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_3k,m_s_sn_gt_2k,m_s_sn_gt_4k,mod_sn_gt_1k,mod_sn,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k,middle_wave_poor
19	0.8576521189509043	2.0	10	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_1k,ar_u,bser,mod_sn_gt_3k,airBoneGap,history_nausea
20	0.9121665320703806	3.0	4	o_ar_c,history_noise,air,speech
21	0.8590731543841915	7.0	40	speech,history_noise,air,o_ar_c,notch_4k,notch_at_4k,ar_u,o_ar_u,bser,mod_sn_gt_3k,mod_sn_gt_500,m_cond_lt_1k,history_vomiting,airBoneGap,m_sn_gt_3k,m_m_gt_2k,history_nausea,m_sn_gt_4k,ar_c,mod_sn_gt_2k,history_buzzing,history_fluctuating,history_roaring,m_m_sn_gt_2k,history_dizziness,m_m_sn,history_fullness,history_heredity,history_recruitment,m_p_sn_gt_2k,bone,history_ringing,late_wave_poor,boneAbnormal,m_at_2k,m_gt_1k,m_m_sn_gt_500,m_m_sn_gt_1k,m_s_gt_500,m_s_sn
22	0.8584490048477946	7.0	5	speech,history_noise,air,o_ar_c,notch_4k
23	0.8696001654370275	7.0	5	o_ar_c,history_noise,air,speech,notch_at_4k
24	0.8731588831539886	2.0	5	speech,notch_at_4k,o_ar_c,history_noise,notch_4k
25	0.8615945598564859	2.0	4	speech,history_noise,notch_at_4k,notch_4k
26	0.9325268337103156	2.0	5	o_ar_c,history_noise,notch_4k,notch_at_4k,speech
27	0.8703456612908448	7.0	4	speech,history_noise,notch_at_4k,notch_4k
28	0.8803197919487403	7.0	25	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_1k,ar_u,bser,mod_sn_gt_3k,airBoneGap,history_nausea,history_buzzing,history_vomiting,mod_sn_gt_2k,history_roaring,history_fluctuating,history_dizziness,m_sn_gt_3k,ar_c,o_ar_u,m_cond_lt_1k,mod_sn_gt_4k,mod_sn_gt_500,m_m_sn,history_fullness,boneAbnormal
29	0.8655908726349707	7.0	4	speech,history_noise,notch_at_4k,o_ar_c
30	0.9216159396065388	7.0	3	speech,notch_at_4k,o_ar_c
31	0.8512108755470817	7.0	5	o_ar_c,history_noise,air,speech,notch_at_4k
32	0.99691356061331	7.0	3	o_ar_c,history_noise,notch_4k
33	0.9991060890763273	7.0	12	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k
34	0.9473332408654942	2.0	6	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u
35	0.8745017997553993	7.0	4	o_ar_c,history_noise,notch_4k,notch_at_4k
36	0.8562016821438833	3.0	2	o_ar_c,history_noise
37	0.8615944773500717	7.0	3	speech,notch_at_4k,o_ar_c
38	0.8745017997553993	7.0	4	o_ar_c,history_noise,notch_4k,notch_at_4k
39	0.8548815609671248	2.0	5	o_ar_c,history_noise,notch_4k,notch_at_4k,speech
40	0.883187253022686	2.0	4	speech,notch_at_4k,o_ar_c,history_noise
41	0.8979008734605215	7.0	6	speech,history_noise,air,o_ar_c,notch_4k,notch_at_4k
42	0.8592201466196048	7.0	59	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k,m_sn_gt_4k,m_s_gt_500,history_nausea,history_roaring,m_m_sn,history_vomiting,mod_sn_gt_2k,mod_sn_gt_4k,airBoneGap,mod_sn_gt_500,m_m_sn_gt_1k,m_sn_gt_3k,ar_c,history_buzzing,history_dizziness,m_m_sn_gt_500,notch_4k,boneAbnormal,m_s_sn_gt_1k,m_sn_2_3k,history_fluctuating,m_sn_gt_6k,m_sn_lt_2k,m_sn_gt_1k,m_sn_gt_2k,history_fullness,mod_gt_4k,m_sn_lt_3k,history_heredity,m_m_gt_2k,mod_mixed,history_recruitment,vmod_s_mixed,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_3k,m_s_sn_gt_2k,m_s_sn_gt_4k,mod_sn_gt_1k,mod_sn,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k
43	0.9941611365667666	7.0	4	speech,history_noise,notch_at_4k,notch_4k
44	0.9485884570679454	7.0	5	speech,history_noise,air,notch_at_4k,o_ar_c
45	0.9162945834307948	2.0	7	o_ar_c,history_noise,air,speech,notch_at_4k,mod_sn_gt_3k,ar_u
46	0.8530201109326889	2.0	19	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,ar_u,mod_sn_gt_3k,mod_sn_gt_4k,m_m_sn,airBoneGap,bser,history_dizziness,history_roaring,history_buzzing,m_sn_gt_3k,history_vomiting,boneAbnormal,mod_sn_gt_2k,mod_sn_gt_500
47	0.879239616402258	7.0	5	speech,history_noise,air,notch_at_4k,o_ar_c
48	0.8549416962360747	7.0	5	speech,history_noise,notch_at_4k,notch_4k,o_ar_c
49	0.8536001675067365	2.0	12	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_1k,ar_u,bser,mod_sn_gt_3k,airBoneGap,history_nausea,history_buzzing,history_vomiting
50	0.85391234957334	7.0	45	speech,history_noise,air,o_ar_c,notch_4k,notch_at_4k,ar_u,o_ar_u,bser,mod_sn_gt_3k,mod_sn_gt_500,m_cond_lt_1k,history_vomiting,airBoneGap,m_sn_gt_3k,m_m_gt_2k,history_nausea,m_sn_gt_4k,ar_c,mod_sn_gt_2k,history_buzzing,history_fluctuating,history_roaring,m_m_sn_gt_2k,history_dizziness,m_m_sn,history_fullness,history_heredity,history_recruitment,m_p_sn_gt_2k,bone,history_ringing,late_wave_poor,boneAbnormal,m_at_2k,m_gt_1k,m_m_sn_gt_500,m_m_sn_gt_1k,m_s_gt_500,m_s_sn,m_s_sn_gt_1k,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_2k,m_s_sn_gt_4k
51	0.6269079413384148	7.0	68	o_ar_c,history_noise,air,speech,notch_at_4k,mod_sn_gt_3k,ar_u,bser,boneAbnormal,airBoneGap,history_nausea,history_roaring,history_buzzing,history_fluctuating,m_sn_gt_3k,m_cond_lt_1k,ar_c,history_vomiting,history_fullness,mod_sn_gt_4k,history_heredity,history_dizziness,m_s_sn_gt_3k,bone,m_m_sn_gt_1k,m_m_sn_gt_500,m_p_sn_gt_2k,m_sn_gt_1k,m_s_sn_gt_1k,m_sn_2_3k,m_sn_lt_2k,m_sn_gt_6k,notch_4k,m_m_sn,m_m_gt_2k,mod_gt_4k,history_recruitment,mod_mixed,history_ringing,vmod_s_mixed,o_ar_u,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_gt_500,m_s_sn,mod_sn_gt_2k,mod_sn,mod_sn_gt_1k,m_sn_gt_4k,m_s_sn_gt_2k,m_s_sn_gt_4k,m_sn_gt_2k,m_sn_gt_500,m_sn_lt_1k,static_normal,m_sn_lt_3k,middle_wave_poor,mod_s_sn_gt_500,mod_sn_gt_500,s_sn_gt_1k,s_sn_gt_2k,s_sn_gt_4k,tymp,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
52	0.8745017997553993	7.0	4	o_ar_c,history_noise,notch_4k,notch_at_4k
53	0.8541674576176839	2.0	10	speech,history_noise,air,o_ar_c,notch_4k,notch_at_4k,ar_u,o_ar_u,bser,mod_sn_gt_3k
54	0.8784109594502012	7.0	36	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,ar_u,mod_sn_gt_3k,mod_sn_gt_4k,m_m_sn,airBoneGap,bser,history_dizziness,history_roaring,history_buzzing,m_sn_gt_3k,history_vomiting,boneAbnormal,mod_sn_gt_2k,mod_sn_gt_500,air,m_m_sn_gt_1k,ar_c,history_fluctuating,history_fullness,m_cond_lt_1k,m_m_sn_gt_500,m_p_sn_gt_2k,bone,m_s_gt_500,m_s_sn_gt_1k,m_sn_2_3k,m_sn_gt_6k,m_sn_lt_3k,mod_sn_gt_1k,mod_mixed,speech
55	0.863962429924449	7.0	5	speech,history_noise,air,o_ar_c,notch_4k
56	0.8971870688957801	2.0	4	speech,notch_at_4k,o_ar_c,history_noise
57	0.8778011606699841	2.0	4	speech,history_noise,air,notch_at_4k
58	0.8773162504789846	2.0	26	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k,m_sn_gt_4k,m_s_gt_500,history_nausea,history_roaring,m_m_sn,history_vomiting,mod_sn_gt_2k,mod_sn_gt_4k,airBoneGap,mod_sn_gt_500,m_m_sn_gt_1k,m_sn_gt_3k,ar_c,history_buzzing
59	0.894986076963821	7.0	5	o_ar_c,history_noise,air,speech,notch_at_4k
60	0.9105360409585392	7.0	4	speech,notch_at_4k,o_ar_c,history_noise
61	0.9985747523220536	7.0	22	speech,history_noise,air,notch_at_4k,o_ar_c,ar_u,bser,o_ar_u,m_cond_lt_1k,bone,m_p_sn_gt_2k,mod_sn_gt_3k,m_sn_gt_4k,m_s_gt_500,history_nausea,history_roaring,m_m_sn,history_vomiting,mod_sn_gt_2k,mod_sn_gt_4k,airBoneGap,mod_sn_gt_500
62	0.9078306261531668	7.0	7	o_ar_c,history_noise,notch_4k,notch_at_4k,speech,o_ar_u,ar_c
63	0.9921353765278692	7.0	5	speech,notch_at_4k,o_ar_c,history_noise,notch_4k
64	0.9230832783841312	7.0	5	speech,history_noise,notch_at_4k,notch_4k,o_ar_c
