index	highest_proba	outcome	cost_of_classification	used_features
0	0.9156915949049116	2.0	1	maintenance
1	0.9162172740170816	2.0	1	maintenance
2	0.9157912807131152	2.0	1	maintenance
3	0.9189582179111636	2.0	1	maintenance
4	0.9153770556572244	2.0	1	maintenance
5	0.9157912807131152	2.0	1	maintenance
6	0.9178778244288772	2.0	1	maintenance
7	0.9151472965089332	2.0	1	maintenance
8	0.9189582179111636	2.0	1	maintenance
9	0.9153770556572244	2.0	1	maintenance
10	0.9152696122845732	2.0	1	maintenance
11	0.9178778244288772	2.0	1	maintenance
12	0.9249507551265688	2.0	1	maintenance
13	0.9189582179111636	2.0	1	maintenance
14	0.9194728837101618	2.0	1	maintenance
15	0.9153770556572244	2.0	1	maintenance
16	0.9249507551265688	2.0	1	maintenance
17	0.9189582179111636	2.0	1	maintenance
18	0.9162172740170816	2.0	1	maintenance
19	0.9162172740170816	2.0	1	maintenance
20	0.9194728837101618	2.0	1	maintenance
21	0.9156915949049116	2.0	1	maintenance
22	0.9249507551265688	2.0	1	maintenance
23	0.9249507551265688	2.0	1	maintenance
24	0.9156915949049116	2.0	1	maintenance
25	0.9156915949049116	2.0	1	maintenance
26	0.9151472965089332	2.0	1	maintenance
27	0.9189582179111636	2.0	1	maintenance
28	0.9152696122845732	2.0	1	maintenance
29	0.9153770556572244	2.0	1	maintenance
30	0.9156915949049116	2.0	1	maintenance
31	0.9189582179111636	2.0	1	maintenance
32	0.9189582179111636	2.0	1	maintenance
33	0.9156915949049116	2.0	1	maintenance
34	0.9189582179111636	2.0	1	maintenance
35	0.9157912807131152	2.0	1	maintenance
36	0.9157912807131152	2.0	1	maintenance
37	0.9157912807131152	2.0	1	maintenance
38	0.9194728837101618	2.0	1	maintenance
39	0.9153770556572244	2.0	1	maintenance
40	0.9153770556572244	2.0	1	maintenance
41	0.9157912807131152	2.0	1	maintenance
42	0.9189582179111636	2.0	1	maintenance
43	0.9162172740170816	2.0	1	maintenance
44	0.9178778244288772	2.0	1	maintenance
45	0.9157912807131152	2.0	1	maintenance
46	0.9156915949049116	2.0	1	maintenance
47	0.9152696122845732	2.0	1	maintenance
48	0.9151472965089332	2.0	1	maintenance
49	0.9189582179111636	2.0	1	maintenance
50	0.9152696122845732	2.0	1	maintenance
51	0.9152696122845732	2.0	1	maintenance
52	0.9194728837101618	2.0	1	maintenance
53	0.9194728837101618	2.0	1	maintenance
54	0.9156915949049116	2.0	1	maintenance
55	0.9194728837101618	2.0	1	maintenance
56	0.9151472965089332	2.0	1	maintenance
57	0.9152696122845732	2.0	1	maintenance
58	0.9194728837101618	2.0	1	maintenance
59	0.9194728837101618	2.0	1	maintenance
60	0.9153770556572244	2.0	1	maintenance
61	0.9178778244288772	2.0	1	maintenance
62	0.9151472965089332	2.0	1	maintenance
63	0.9189582179111636	2.0	1	maintenance
64	0.9153770556572244	2.0	1	maintenance
65	0.9152696122845732	2.0	1	maintenance
66	0.9178778244288772	2.0	1	maintenance
67	0.9178778244288772	2.0	1	maintenance
68	0.9156915949049116	2.0	1	maintenance
69	0.9194728837101618	2.0	1	maintenance
70	0.9194728837101618	2.0	1	maintenance
71	0.9153770556572244	2.0	1	maintenance
72	0.9153770556572244	2.0	1	maintenance
73	0.9151472965089332	2.0	1	maintenance
74	0.9162172740170816	2.0	1	maintenance
75	0.9162172740170816	2.0	1	maintenance
76	0.9152696122845732	2.0	1	maintenance
77	0.9194728837101618	2.0	1	maintenance
78	0.9189582179111636	2.0	1	maintenance
79	0.9162172740170816	2.0	1	maintenance
80	0.9156915949049116	2.0	1	maintenance
81	0.9152696122845732	2.0	1	maintenance
82	0.9194728837101618	2.0	1	maintenance
83	0.9151472965089332	2.0	1	maintenance
84	0.9157912807131152	2.0	1	maintenance
85	0.9156915949049116	2.0	1	maintenance
86	0.9157912807131152	2.0	1	maintenance
87	0.9189582179111636	2.0	1	maintenance
88	0.9194728837101618	2.0	1	maintenance
89	0.9157912807131152	2.0	1	maintenance
90	0.9162172740170816	2.0	1	maintenance
91	0.9156915949049116	2.0	1	maintenance
92	0.9152696122845732	2.0	1	maintenance
93	0.9157912807131152	2.0	1	maintenance
94	0.9249507551265688	2.0	1	maintenance
95	0.9152696122845732	2.0	1	maintenance
96	0.9178778244288772	2.0	1	maintenance
97	0.9249507551265688	2.0	1	maintenance
98	0.9194728837101618	2.0	1	maintenance
99	0.9156915949049116	2.0	1	maintenance
100	0.9152696122845732	2.0	1	maintenance
101	0.9189582179111636	2.0	1	maintenance
102	0.9178778244288772	2.0	1	maintenance
103	0.9156915949049116	2.0	1	maintenance
104	0.9194728837101618	2.0	1	maintenance
105	0.9153770556572244	2.0	1	maintenance
106	0.9249507551265688	2.0	1	maintenance
107	0.9162172740170816	2.0	1	maintenance
108	0.872845375547868	2.0	1	maintenance
109	0.8686304283512128	2.0	1	maintenance
110	0.8703529849214566	2.0	1	maintenance
111	0.872845375547868	2.0	1	maintenance
112	0.8703529849214566	2.0	1	maintenance
113	0.8641097287505279	2.0	1	maintenance
114	0.864056885877663	2.0	1	maintenance
115	0.8608583660592039	2.0	1	maintenance
116	0.8649597274442985	2.0	1	maintenance
117	0.8649597274442985	2.0	1	maintenance
118	0.8641097287505279	2.0	1	maintenance
119	0.8703529849214566	2.0	1	maintenance
120	0.864056885877663	2.0	1	maintenance
121	0.8703529849214566	2.0	1	maintenance
122	0.8703529849214566	2.0	1	maintenance
123	0.864056885877663	2.0	1	maintenance
124	0.8695095102181895	2.0	1	maintenance
125	0.8746120759565515	2.0	1	maintenance
126	0.8641097287505279	2.0	1	maintenance
127	0.8649597274442985	2.0	1	maintenance
128	0.8608583660592039	2.0	1	maintenance
129	0.8746120759565515	2.0	1	maintenance
130	0.8649597274442985	2.0	1	maintenance
131	0.8746120759565515	2.0	1	maintenance
132	0.864056885877663	2.0	1	maintenance
133	0.864056885877663	2.0	1	maintenance
134	0.864056885877663	2.0	1	maintenance
135	0.8641097287505279	2.0	1	maintenance
136	0.8703529849214566	2.0	1	maintenance
137	0.8686304283512128	2.0	1	maintenance
138	0.864056885877663	2.0	1	maintenance
