index	highest_proba	outcome	cost_of_classification	used_features
0	0.8956958259151888	2	1	doors
1	0.8945099715293349	2	1	doors
2	0.8927080876200221	2	1	doors
3	0.8945099715293349	2	1	doors
4	0.8873778489410307	2	1	doors
5	0.9012777860900022	2	1	doors
6	0.8915738748932143	2	1	doors
7	0.8927080876200221	2	1	doors
8	0.888258308445587	2	1	doors
9	0.8949592010176833	2	1	doors
10	0.8952650271026398	2	1	doors
11	0.8873778489410307	2	1	doors
12	0.8949592010176833	2	1	doors
13	0.8952650271026398	2	1	doors
14	0.8945099715293349	2	1	doors
15	0.9012777860900022	2	1	doors
16	0.8949592010176833	2	1	doors
17	0.9012777860900022	2	1	doors
18	0.8949592010176833	2	1	doors
19	0.8956958259151888	2	1	doors
20	0.8873778489410307	2	1	doors
21	0.8873778489410307	2	1	doors
22	0.8927080876200221	2	1	doors
23	0.8949592010176833	2	1	doors
24	0.8927080876200221	2	1	doors
25	0.8949592010176833	2	1	doors
26	0.8927080876200221	2	1	doors
27	0.8580506532635019	2	1	doors
28	0.8580506532635019	2	1	doors
29	0.8659976444135254	2	1	doors
30	0.8603061820008739	2	1	doors
31	0.8603061820008739	2	1	doors
32	0.8603061820008739	2	1	doors
33	0.8598546542189718	2	1	doors
34	0.8664420508109621	2	1	doors
35	0.8637600292961873	2	1	doors
36	0.8667872491402366	2	1	doors
37	0.8580506532635019	2	1	doors
38	0.8619403826495382	2	1	doors
39	0.8679179336346091	2	1	doors
40	0.8667872491402366	2	1	doors
41	0.8679179336346091	2	1	doors
42	0.8580506532635019	2	1	doors
43	0.8687659214525556	2	1	doors
44	0.8679179336346091	2	1	doors
45	0.8664420508109621	2	1	doors
46	0.8637600292961873	2	1	doors
47	0.8603061820008739	2	1	doors
48	0.8687659214525556	2	1	doors
49	0.8598546542189718	2	1	doors
50	0.8667872491402366	2	1	doors
51	0.8667872491402366	2	1	doors
52	0.8598546542189718	2	1	doors
53	0.8687659214525556	2	1	doors
54	0.8592760680738164	2	1	doors
55	0.8541505096177481	2	1	doors
56	0.8552755147649497	2	1	doors
57	0.8558250061812424	2	1	doors
58	0.8541505096177481	2	1	doors
59	0.8627242470736375	2	1	doors
60	0.8501224988412571	2	1	doors
61	0.8541505096177481	2	1	doors
62	0.8541505096177481	2	1	doors
63	0.8592760680738164	2	1	doors
64	0.8592760680738164	2	1	doors
65	0.8558250061812424	2	1	doors
66	0.8627242470736375	2	1	doors
67	0.8501224988412571	2	1	doors
68	0.8563957251026528	2	1	doors
69	0.8501224988412571	2	1	doors
70	0.8501224988412571	2	1	doors
71	0.8592760680738164	2	1	doors
72	0.8637943214061117	2	1	doors
73	0.8563957251026528	2	1	doors
74	0.8501224988412571	2	1	doors
75	0.8563957251026528	2	1	doors
76	0.8563957251026528	2	1	doors
77	0.85034648707979	2	1	doors
78	0.8501224988412571	2	1	doors
79	0.8501224988412571	2	1	doors
80	0.8552947328722555	2	1	doors
81	0.850577748598296	2	1	doors
82	0.8579338939620332	2	1	doors
83	0.8587908355795194	2	1	doors
84	0.8590388648589327	2	1	doors
85	0.850577748598296	2	1	doors
86	0.850577748598296	2	1	doors
87	0.8530336840571183	2	1	doors
88	0.8587908355795194	2	1	doors
89	0.8530336840571183	2	1	doors
90	0.8587908355795194	2	1	doors
91	0.8580363965629477	2	1	doors
92	0.8590388648589327	2	1	doors
93	0.8590388648589327	2	1	doors
94	0.8530336840571183	2	1	doors
95	0.8601764178641014	2	1	doors
96	0.862414129753563	2	1	doors
97	0.8530336840571183	2	1	doors
98	0.8590388648589327	2	1	doors
99	0.8580363965629477	2	1	doors
100	0.8580363965629477	2	1	doors
101	0.8523336887092909	2	1	doors
102	0.8590388648589327	2	1	doors
103	0.862414129753563	2	1	doors
104	0.8523336887092909	2	1	doors
105	0.8530336840571183	2	1	doors
106	0.862414129753563	2	1	doors
107	0.8523336887092909	2	1	doors
108	0.8956958259151888	2	1	doors
109	0.8956958259151888	2	1	doors
110	0.8915738748932143	2	1	doors
111	0.8873778489410307	2	1	doors
112	0.888258308445587	2	1	doors
113	0.8949592010176833	2	1	doors
114	0.888258308445587	2	1	doors
115	0.9012777860900022	2	1	doors
116	0.9012777860900022	2	1	doors
117	0.8873778489410307	2	1	doors
118	0.8927080876200221	2	1	doors
119	0.888258308445587	2	1	doors
120	0.888258308445587	2	1	doors
121	0.8873778489410307	2	1	doors
122	0.8956958259151888	2	1	doors
123	0.888258308445587	2	1	doors
124	0.8994983793861207	2	1	doors
125	0.8949592010176833	2	1	doors
126	0.8994983793861207	2	1	doors
127	0.8945099715293349	2	1	doors
128	0.8873778489410307	2	1	doors
129	0.8927080876200221	2	1	doors
130	0.8949592010176833	2	1	doors
131	0.8952650271026398	2	1	doors
132	0.8945099715293349	2	1	doors
133	0.8952650271026398	2	1	doors
134	0.8945099715293349	2	1	doors
135	0.8637600292961873	2	1	doors
136	0.8637600292961873	2	1	doors
137	0.8580506532635019	2	1	doors
138	0.8603061820008739	2	1	doors
139	0.8679179336346091	2	1	doors
140	0.8679179336346091	2	1	doors
141	0.8580506532635019	2	1	doors
142	0.8619403826495382	2	1	doors
143	0.8580506532635019	2	1	doors
144	0.8598546542189718	2	1	doors
145	0.8637600292961873	2	1	doors
146	0.8679179336346091	2	1	doors
147	0.8603061820008739	2	1	doors
148	0.8637600292961873	2	1	doors
149	0.8687659214525556	2	1	doors
150	0.8679179336346091	2	1	doors
151	0.8598546542189718	2	1	doors
152	0.8637600292961873	2	1	doors
153	0.8667872491402366	2	1	doors
154	0.8598546542189718	2	1	doors
155	0.8580506532635019	2	1	doors
156	0.8637600292961873	2	1	doors
157	0.8637600292961873	2	1	doors
158	0.8580506532635019	2	1	doors
159	0.8603061820008739	2	1	doors
160	0.8687659214525556	2	1	doors
161	0.8603061820008739	2	1	doors
162	0.8541505096177481	2	1	doors
163	0.8592760680738164	2	1	doors
164	0.8558250061812424	2	1	doors
165	0.85034648707979	2	1	doors
166	0.8627242470736375	2	1	doors
167	0.85034648707979	2	1	doors
168	0.8501224988412571	2	1	doors
169	0.85034648707979	2	1	doors
170	0.8637943214061117	2	1	doors
171	0.8627242470736375	2	1	doors
172	0.8627242470736375	2	1	doors
173	0.8541505096177481	2	1	doors
174	0.8501224988412571	2	1	doors
175	0.8552947328722555	2	1	doors
176	0.8592760680738164	2	1	doors
177	0.85034648707979	2	1	doors
178	0.8501224988412571	2	1	doors
179	0.8541505096177481	2	1	doors
180	0.8558250061812424	2	1	doors
181	0.8592760680738164	2	1	doors
182	0.8637943214061117	2	1	doors
183	0.8592760680738164	2	1	doors
184	0.8552947328722555	2	1	doors
185	0.8637943214061117	2	1	doors
186	0.8627242470736375	2	1	doors
187	0.8552755147649497	2	1	doors
188	0.8552755147649497	2	1	doors
189	0.8580363965629477	2	1	doors
190	0.8512853857913001	2	1	doors
191	0.8601764178641014	2	1	doors
192	0.8601764178641014	2	1	doors
193	0.8580363965629477	2	1	doors
194	0.8512853857913001	2	1	doors
195	0.8523336887092909	2	1	doors
196	0.8512853857913001	2	1	doors
197	0.8587908355795194	2	1	doors
198	0.862414129753563	2	1	doors
199	0.850577748598296	2	1	doors
200	0.850577748598296	2	1	doors
201	0.850577748598296	2	1	doors
202	0.8601764178641014	2	1	doors
203	0.8523336887092909	2	1	doors
204	0.8523336887092909	2	1	doors
205	0.8530336840571183	2	1	doors
206	0.8579338939620332	2	1	doors
207	0.862414129753563	2	1	doors
208	0.8512853857913001	2	1	doors
209	0.8530336840571183	2	1	doors
210	0.8590388648589327	2	1	doors
211	0.8580363965629477	2	1	doors
212	0.8512853857913001	2	1	doors
213	0.850577748598296	2	1	doors
214	0.8512853857913001	2	1	doors
215	0.8523336887092909	2	1	doors
216	0.8949592010176833	2	1	doors
217	0.9012777860900022	2	1	doors
218	0.888258308445587	2	1	doors
219	0.8945099715293349	2	1	doors
220	0.8952650271026398	2	1	doors
221	0.8994983793861207	2	1	doors
222	0.8873778489410307	2	1	doors
223	0.888258308445587	2	1	doors
224	0.8945099715293349	2	1	doors
225	0.888258308445587	2	1	doors
226	0.8927080876200221	2	1	doors
227	0.8994983793861207	2	1	doors
228	0.8927080876200221	2	1	doors
229	0.8927080876200221	2	1	doors
230	0.8945099715293349	2	1	doors
231	0.8945099715293349	2	1	doors
232	0.8956958259151888	2	1	doors
233	0.8949592010176833	2	1	doors
234	0.888258308445587	2	1	doors
235	0.888258308445587	2	1	doors
236	0.8915738748932143	2	1	doors
237	0.8952650271026398	2	1	doors
238	0.8915738748932143	2	1	doors
239	0.8956958259151888	2	1	doors
240	0.8927080876200221	2	1	doors
241	0.888258308445587	2	1	doors
242	0.8945099715293349	2	1	doors
243	0.8619403826495382	2	1	doors
244	0.8637600292961873	2	1	doors
245	0.8664420508109621	2	1	doors
246	0.8580506532635019	2	1	doors
247	0.8659976444135254	2	1	doors
248	0.8637600292961873	2	1	doors
249	0.8580506532635019	2	1	doors
250	0.8687659214525556	2	1	doors
251	0.8637600292961873	2	1	doors
252	0.8598546542189718	2	1	doors
253	0.8637600292961873	2	1	doors
254	0.8667872491402366	2	1	doors
255	0.8664420508109621	2	1	doors
256	0.8603061820008739	2	1	doors
257	0.8664420508109621	2	1	doors
258	0.8679179336346091	2	1	doors
259	0.8637600292961873	2	1	doors
260	0.8598546542189718	2	1	doors
261	0.8687659214525556	2	1	doors
262	0.8598546542189718	2	1	doors
