index	highest_proba	outcome	cost_of_classification	used_features
0	0.9783692726560812	7	2	age_gt_60,history_noise
1	0.9783692726560812	7	2	age_gt_60,history_noise
2	0.9180744608449696	2	1	age_gt_60
3	0.923272961988156	2	1	age_gt_60
4	0.9185818997683416	2	1	age_gt_60
5	0.9246274609984958	2	1	age_gt_60
6	0.982313483547522	7	2	age_gt_60,history_noise
7	0.981031314459124	7	2	age_gt_60,history_noise
8	0.9810902052909896	7	2	age_gt_60,history_noise
9	0.9180104775870304	2	1	age_gt_60
10	0.9246274609984958	2	1	age_gt_60
11	0.9180104775870304	2	1	age_gt_60
12	0.981765548590993	7	2	age_gt_60,history_noise
13	0.9827150845935088	7	2	age_gt_60,history_noise
14	0.9182333167230846	2	1	age_gt_60
15	0.9061310540697788	2	1	age_gt_60
16	0.9993007110048042	6	3	age_gt_60,history_noise,notch_at_4k
17	0.9991452083481857	6	3	age_gt_60,history_noise,notch_at_4k
18	0.9810902052909896	7	2	age_gt_60,history_noise
19	0.980861512762141	7	2	age_gt_60,history_noise
20	0.9180104775870304	2	1	age_gt_60
21	0.9232838941712505	2	1	age_gt_60
22	0.9959983361080964	7	4	age_gt_60,history_noise,notch_at_4k,s_sn_gt_4k
23	0.980861512762141	7	2	age_gt_60,history_noise
24	0.981765548590993	7	2	age_gt_60,history_noise
25	0.9772555120079748	7	2	age_gt_60,history_noise
26	0.980861512762141	7	2	age_gt_60,history_noise
27	0.931381148929166	7	3	age_gt_60,history_noise,notch_at_4k
28	0.981952230797597	7	2	age_gt_60,history_noise
29	0.9810603670790012	7	2	age_gt_60,history_noise
30	0.9553955464982532	7	3	age_gt_60,history_noise,notch_at_4k
31	0.981031314459124	7	2	age_gt_60,history_noise
32	0.9827150845935088	7	2	age_gt_60,history_noise
33	0.9772555120079748	7	2	age_gt_60,history_noise
34	0.9810902052909896	7	2	age_gt_60,history_noise
35	0.9827150845935088	7	2	age_gt_60,history_noise
36	0.9246274609984958	2	1	age_gt_60
37	0.981952230797597	7	2	age_gt_60,history_noise
38	0.981765548590993	7	2	age_gt_60,history_noise
39	0.9185818997683416	2	1	age_gt_60
40	0.9065210131948584	2	1	age_gt_60
41	0.9810603670790012	7	2	age_gt_60,history_noise
42	0.9180744608449696	2	1	age_gt_60
43	0.9827150845935088	7	2	age_gt_60,history_noise
44	0.9810603670790012	7	2	age_gt_60,history_noise
45	0.980861512762141	7	2	age_gt_60,history_noise
46	0.9810603670790012	7	2	age_gt_60,history_noise
47	0.981031314459124	7	2	age_gt_60,history_noise
48	0.981952230797597	7	2	age_gt_60,history_noise
49	0.9061310540697788	2	1	age_gt_60
50	0.9061310540697788	2	1	age_gt_60
51	0.923272961988156	2	1	age_gt_60
52	0.980861512762141	7	2	age_gt_60,history_noise
53	0.9827150845935088	7	2	age_gt_60,history_noise
54	0.981031314459124	7	2	age_gt_60,history_noise
55	0.981952230797597	7	2	age_gt_60,history_noise
56	0.9772555120079748	7	2	age_gt_60,history_noise
57	0.923272961988156	2	1	age_gt_60
58	0.9180744608449696	2	1	age_gt_60
59	0.9553301395444728	7	3	age_gt_60,history_noise,notch_at_4k
60	0.9412862597367048	7	3	age_gt_60,history_noise,notch_at_4k
61	0.9065210131948584	2	1	age_gt_60
62	0.9180744608449696	2	1	age_gt_60
63	0.981952230797597	7	2	age_gt_60,history_noise
64	0.982313483547522	7	2	age_gt_60,history_noise
65	0.981952230797597	7	2	age_gt_60,history_noise
66	0.9810902052909896	7	2	age_gt_60,history_noise
67	0.9232838941712505	2	1	age_gt_60
68	0.9182333167230846	2	1	age_gt_60
69	0.9772555120079748	7	2	age_gt_60,history_noise
70	0.9772555120079748	7	2	age_gt_60,history_noise
71	0.981765548590993	7	2	age_gt_60,history_noise
72	0.9246274609984958	2	1	age_gt_60
73	0.923272961988156	2	1	age_gt_60
74	0.923272961988156	2	1	age_gt_60
75	0.9783692726560812	7	2	age_gt_60,history_noise
76	0.981765548590993	7	2	age_gt_60,history_noise
77	0.9256456454693972	7	3	age_gt_60,history_noise,notch_at_4k
78	0.9959983361080964	7	4	age_gt_60,history_noise,notch_at_4k,s_sn_gt_4k
79	0.9827150845935088	7	2	age_gt_60,history_noise
80	0.9810603670790012	7	2	age_gt_60,history_noise
81	0.9783692726560812	7	2	age_gt_60,history_noise
82	0.9772555120079748	7	2	age_gt_60,history_noise
83	0.9180744608449696	2	1	age_gt_60
84	0.9412862597367048	7	3	age_gt_60,history_noise,notch_at_4k
85	0.9197020697272285	7	3	age_gt_60,history_noise,notch_at_4k
86	0.980861512762141	7	2	age_gt_60,history_noise
87	0.982313483547522	7	2	age_gt_60,history_noise
88	0.9827150845935088	7	2	age_gt_60,history_noise
89	0.9810603670790012	7	2	age_gt_60,history_noise
90	0.980861512762141	7	2	age_gt_60,history_noise
91	0.9783692726560812	7	2	age_gt_60,history_noise
92	0.9810603670790012	7	2	age_gt_60,history_noise
93	0.9993366604873066	6	3	age_gt_60,history_noise,notch_at_4k
94	0.9065210131948584	2	1	age_gt_60
95	0.9810603670790012	7	2	age_gt_60,history_noise
96	0.9065210131948584	2	1	age_gt_60
97	0.9185818997683416	2	1	age_gt_60
98	0.906129374243458	7	3	age_gt_60,history_noise,notch_at_4k
99	0.9065210131948584	2	1	age_gt_60
100	0.9935875325731672	7	4	age_gt_60,history_noise,notch_at_4k,m_m_sn_gt_2k
101	0.981031314459124	7	2	age_gt_60,history_noise
102	0.9827150845935088	7	2	age_gt_60,history_noise
103	0.9182333167230846	2	1	age_gt_60
104	0.9182333167230846	2	1	age_gt_60
105	0.9959983361080964	7	4	age_gt_60,history_noise,notch_at_4k,s_sn_gt_4k
106	0.9993627167113606	6	3	age_gt_60,history_noise,notch_at_4k
107	0.9827150845935088	7	2	age_gt_60,history_noise
108	0.982313483547522	7	2	age_gt_60,history_noise
109	0.9935875325731672	7	4	age_gt_60,history_noise,notch_at_4k,m_m_sn_gt_2k
110	0.980861512762141	7	2	age_gt_60,history_noise
111	0.9810902052909896	7	2	age_gt_60,history_noise
112	0.981765548590993	7	2	age_gt_60,history_noise
113	0.9772555120079748	7	2	age_gt_60,history_noise
114	0.9232838941712505	2	1	age_gt_60
115	0.9061310540697788	2	1	age_gt_60
116	0.9827150845935088	7	2	age_gt_60,history_noise
117	0.982313483547522	7	2	age_gt_60,history_noise
118	0.9246274609984958	2	1	age_gt_60
119	0.9783692726560812	7	2	age_gt_60,history_noise
120	0.982313483547522	7	2	age_gt_60,history_noise
121	0.9185818997683416	2	1	age_gt_60
122	0.9180104775870304	2	1	age_gt_60
123	0.980861512762141	7	2	age_gt_60,history_noise
124	0.981765548590993	7	2	age_gt_60,history_noise
125	0.9551258568496672	7	3	age_gt_60,history_noise,notch_at_4k
126	0.9065210131948584	2	1	age_gt_60
127	0.9246274609984958	2	1	age_gt_60
128	0.9180104775870304	2	1	age_gt_60
129	0.9246274609984958	2	1	age_gt_60
130	0.981031314459124	7	2	age_gt_60,history_noise
131	0.9180104775870304	2	1	age_gt_60
132	0.9810902052909896	7	2	age_gt_60,history_noise
133	0.9783692726560812	7	2	age_gt_60,history_noise
134	0.9810902052909896	7	2	age_gt_60,history_noise
135	0.9232838941712505	2	1	age_gt_60
136	0.9772555120079748	7	2	age_gt_60,history_noise
137	0.981031314459124	7	2	age_gt_60,history_noise
138	0.9182333167230846	2	1	age_gt_60
139	0.9185818997683416	2	1	age_gt_60
140	0.9772555120079748	7	2	age_gt_60,history_noise
141	0.9180104775870304	2	1	age_gt_60
142	0.9180744608449696	2	1	age_gt_60
143	0.9991443576115824	6	3	age_gt_60,history_noise,notch_at_4k
144	0.9232838941712505	2	1	age_gt_60
145	0.9996697041152532	6	3	age_gt_60,history_noise,notch_at_4k
146	0.9991436422798688	6	3	age_gt_60,history_noise,notch_at_4k
147	0.9810603670790012	7	2	age_gt_60,history_noise
148	0.9810603670790012	7	2	age_gt_60,history_noise
149	0.9810902052909896	7	2	age_gt_60,history_noise
150	0.9246274609984958	2	1	age_gt_60
151	0.9994421981005752	6	3	age_gt_60,history_noise,notch_at_4k
152	0.9993007110048042	6	3	age_gt_60,history_noise,notch_at_4k
153	0.923272961988156	2	1	age_gt_60
154	0.9959983361080964	7	4	age_gt_60,history_noise,notch_at_4k,s_sn_gt_4k
155	0.9246274609984958	2	1	age_gt_60
156	0.9959983361080964	7	4	age_gt_60,history_noise,notch_at_4k,s_sn_gt_4k
157	0.9185818997683416	2	1	age_gt_60
158	0.9246274609984958	2	1	age_gt_60
159	0.9246274609984958	2	1	age_gt_60
160	0.9246274609984958	2	1	age_gt_60
161	0.923272961988156	2	1	age_gt_60
162	0.9061310540697788	2	1	age_gt_60
163	0.9180744608449696	2	1	age_gt_60
164	0.9065210131948584	2	1	age_gt_60
165	0.981952230797597	7	2	age_gt_60,history_noise
166	0.980861512762141	7	2	age_gt_60,history_noise
167	0.981765548590993	7	2	age_gt_60,history_noise
168	0.980861512762141	7	2	age_gt_60,history_noise
169	0.9232838941712505	2	1	age_gt_60
170	0.9185818997683416	2	1	age_gt_60
171	0.9810902052909896	7	2	age_gt_60,history_noise
172	0.9810902052909896	7	2	age_gt_60,history_noise
173	0.931381148929166	7	3	age_gt_60,history_noise,notch_at_4k
174	0.9935875325731672	7	4	age_gt_60,history_noise,notch_at_4k,m_m_sn_gt_2k
175	0.9995858798452676	6	3	age_gt_60,history_noise,notch_at_4k
176	0.9197020697272285	7	3	age_gt_60,history_noise,notch_at_4k
177	0.9246274609984958	2	1	age_gt_60
178	0.9182333167230846	2	1	age_gt_60
179	0.981031314459124	7	2	age_gt_60,history_noise
180	0.9783692726560812	7	2	age_gt_60,history_noise
181	0.981031314459124	7	2	age_gt_60,history_noise
182	0.9783692726560812	7	2	age_gt_60,history_noise
183	0.9232838941712505	2	1	age_gt_60
184	0.9182333167230846	2	1	age_gt_60
185	0.981031314459124	7	2	age_gt_60,history_noise
186	0.981952230797597	7	2	age_gt_60,history_noise
187	0.9810902052909896	7	2	age_gt_60,history_noise
188	0.9772555120079748	7	2	age_gt_60,history_noise
189	0.981952230797597	7	2	age_gt_60,history_noise
190	0.9246274609984958	2	1	age_gt_60
191	0.9180744608449696	2	1	age_gt_60
192	0.9061310540697788	2	1	age_gt_60
193	0.9182333167230846	2	1	age_gt_60
194	0.9185818997683416	2	1	age_gt_60
195	0.9061310540697788	2	1	age_gt_60
196	0.9246274609984958	2	1	age_gt_60
197	0.982313483547522	7	2	age_gt_60,history_noise
198	0.9065210131948584	2	1	age_gt_60
199	0.9246274609984958	2	1	age_gt_60
