	highest_proba	outcome	cost_of_classification	used_features
8	0.9100669649185918	7	3	o_ar_c,history_noise,air
40	0.9035634002437211	7	57	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_4k,bone,air,ar_c,ar_u,m_sn_2_3k,history_nausea,mod_sn_gt_1k,m_s_sn_gt_3k,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_2k,history_vomiting,m_m_sn,airBoneGap,mod_sn_gt_3k,history_buzzing,m_m_gt_2k,boneAbnormal,bser,history_dizziness,history_fluctuating,history_fullness,history_heredity,history_roaring,history_recruitment,history_ringing,m_m_sn_gt_1k,m_m_sn_gt_500,m_cond_lt_1k,m_s_gt_500,m_sn_gt_3k,late_wave_poor,m_at_2k,m_p_sn_gt_2k,mod_sn_gt_4k,m_s_sn_gt_1k,m_gt_1k,m_sn_gt_6k,mod_sn_gt_500,mod_gt_4k,m_m_sn_gt_2k,mod_mixed,vmod_s_mixed,m_s_sn,m_s_sn_gt_2k,mod_sn,o_ar_u,tymp,m_s_sn_gt_4k,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k
45	0.9056224648317176	7	13	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_4k,bone,air,m_sn_gt_1k,history_nausea,ar_c,m_m_sn_gt_500,m_sn_2_3k,m_sn_lt_2k
54	0.9092704792295239	7	29	o_ar_c,history_noise,o_ar_u,notch_4k,notch_at_4k,mod_sn_gt_3k,m_sn_gt_4k,ar_u,air,history_nausea,history_vomiting,m_s_sn_gt_3k,m_m_sn_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,airBoneGap,bser,boneAbnormal,mod_sn_gt_2k,history_buzzing,m_m_gt_2k,history_roaring,m_m_sn_gt_1k,history_fluctuating,history_fullness,m_m_sn,ar_c,s_sn_gt_2k
61	0.9364633921048263	7	7	o_ar_c,history_noise,notch_4k,notch_at_4k,o_ar_u,ar_u,mod_sn_gt_3k
77	0.99914213893482	2	25	o_ar_c,history_noise,notch_4k,notch_at_4k,ar_u,m_sn_gt_1k,m_s_sn_gt_3k,air,bone,bser,m_sn_gt_4k,ar_c,mod_sn_gt_1k,history_nausea,m_sn_2_3k,mod_sn_gt_2k,m_m_sn_gt_500,m_sn_lt_2k,m_sn_lt_3k,boneAbnormal,history_vomiting,m_m_sn,mod_sn_gt_3k,m_m_gt_2k,s_sn_gt_2k
87	0.9272259231297599	7	10	o_ar_c,history_noise,mod_sn_gt_3k,m_sn_gt_1k,mod_sn_gt_2k,bone,o_ar_u,notch_at_4k,air,ar_u
89	0.9175702955478806	7	3	o_ar_c,history_noise,o_ar_u
114	0.9043766734851559	7	5	o_ar_c,history_noise,air,airBoneGap,tymp
117	0.9234131958010516	7	11	o_ar_c,history_noise,mod_sn_gt_3k,m_sn_gt_1k,mod_sn_gt_2k,bone,o_ar_u,m_sn_2_3k,notch_4k,m_sn_gt_4k,m_s_sn_gt_3k
119	0.9975717336431648	7	8	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_4k,bone,air,history_nausea
143	0.9978525563960977	6	4	o_ar_c,history_noise,notch_4k,notch_at_4k
152	0.9978525563960977	6	4	o_ar_c,history_noise,notch_4k,notch_at_4k
157	0.9364633921048263	7	7	o_ar_c,history_noise,notch_4k,notch_at_4k,o_ar_u,ar_u,mod_sn_gt_3k
163	0.9164220814653041	2	10	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_4k,bone,air,history_nausea,mod_sn_gt_3k,ar_c
168	0.9881929994029881	2	5	o_ar_c,history_noise,notch_4k,notch_at_4k,m_sn_gt_4k
174	0.9969141340198083	2	38	o_ar_c,history_noise,notch_4k,notch_at_4k,ar_u,m_sn_gt_1k,m_s_sn_gt_3k,air,bone,bser,m_sn_gt_4k,ar_c,mod_sn_gt_3k,o_ar_u,s_sn_gt_1k,m_sn_gt_3k,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,m_sn_2_3k,history_vomiting,mod_sn_gt_2k,m_m_sn_gt_500,boneAbnormal,airBoneGap,history_buzzing,history_fluctuating,history_fullness,history_heredity,history_nausea,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_m_gt_2k
178	0.9021938334706562	7	57	o_ar_c,history_noise,notch_4k,notch_at_4k,ar_u,m_sn_gt_1k,m_s_sn_gt_3k,air,bone,bser,m_sn_gt_4k,ar_c,mod_sn_gt_3k,o_ar_u,s_sn_gt_1k,m_sn_gt_3k,m_sn_lt_2k,m_sn_lt_3k,mod_sn_gt_1k,m_sn_2_3k,history_vomiting,mod_sn_gt_2k,m_m_sn_gt_500,boneAbnormal,airBoneGap,history_buzzing,history_fluctuating,history_fullness,history_heredity,history_nausea,history_recruitment,history_ringing,history_roaring,late_wave_poor,m_at_2k,m_cond_lt_1k,m_gt_1k,m_m_gt_2k,m_m_sn_gt_1k,m_s_gt_500,m_p_sn_gt_2k,mod_sn_gt_4k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_1k,mod_sn_gt_500,m_sn_gt_6k,mod_gt_4k,mod_mixed,vmod_s_mixed,mod_sn,m_m_sn,history_dizziness,s_sn_gt_2k,m_s_sn_gt_2k,tymp,m_sn_gt_2k
180	0.997103886932365	7	3	o_ar_c,history_noise,notch_4k
195	0.997103886932365	7	3	o_ar_c,history_noise,notch_4k
