index	highest_proba	outcome	cost_of_classification	used_features
0	0.9073408202500358	7	61	history_noise,air,ar_c,m_sn_gt_4k,m_m_sn,notch_at_4k,notch_4k,bone,history_nausea,mod_sn_gt_1k,mod_sn_gt_2k,m_m_sn_gt_1k,history_vomiting,m_s_sn_gt_4k,m_sn_2_3k,mod_sn_gt_3k,m_sn_lt_2k,m_m_gt_2k,m_sn_lt_3k,mod_sn_gt_4k,ar_u,history_dizziness,airBoneGap,m_sn_gt_3k,bser,history_buzzing,boneAbnormal,m_s_sn_gt_3k,history_roaring,o_ar_c,history_fluctuating,m_m_sn_gt_500,m_s_gt_500,mod_sn_gt_500,history_fullness,static_normal,m_cond_lt_1k,s_sn_gt_2k,mod_gt_4k,m_sn_gt_2k,o_ar_u,m_sn_gt_1k,m_p_sn_gt_2k,m_s_sn_gt_1k,history_heredity,history_recruitment,m_sn_gt_6k,mod_mixed,vmod_s_mixed,history_ringing,late_wave_poor,mod_sn,tymp,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_2k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor
1	0.9278881997619078	2	8	o_ar_c,history_noise,air,m_sn_gt_4k,bone,notch_at_4k,notch_4k,ar_c
2	0.910727283739728	7	5	history_noise,air,ar_c,m_sn_gt_4k,notch_at_4k
3	0.9808390363539268	7	16	history_noise,air,notch_4k,o_ar_c,notch_at_4k,ar_u,history_nausea,m_sn_gt_4k,m_m_sn,mod_sn_gt_3k,m_m_sn_gt_500,m_sn_lt_3k,mod_sn_gt_1k,m_m_sn_gt_2k,m_sn_2_3k,ar_c
4	0.9000660290773427	7	59	history_noise,air,ar_c,m_sn_gt_4k,m_m_sn,notch_at_4k,notch_4k,bone,history_nausea,m_m_sn_gt_1k,m_sn_lt_2k,m_sn_lt_3k,history_vomiting,mod_sn_gt_1k,mod_sn_gt_2k,m_sn_2_3k,mod_sn_gt_3k,m_s_sn_gt_4k,s_sn_gt_2k,m_m_gt_2k,history_roaring,boneAbnormal,history_dizziness,ar_u,mod_sn_gt_4k,airBoneGap,o_ar_c,m_sn_gt_3k,m_m_sn_gt_500,static_normal,m_s_gt_500,m_sn_gt_2k,bser,m_cond_lt_1k,mod_sn_gt_500,mod_gt_4k,m_p_sn_gt_2k,o_ar_u,m_sn_gt_1k,m_s_sn_gt_1k,m_s_sn_gt_3k,history_buzzing,m_sn_gt_6k,history_fluctuating,history_fullness,history_heredity,mod_mixed,vmod_s_mixed,history_recruitment,history_ringing,mod_sn,tymp,late_wave_poor,m_at_2k,m_gt_1k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_2k,m_sn_gt_500
5	0.9286060095090296	2	7	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,air,ar_c
6	0.9286060095090296	2	7	o_ar_c,history_noise,notch_4k,notch_at_4k,history_nausea,air,ar_c
7	0.905821096937901	2	7	notch_at_4k,o_ar_c,history_noise,notch_4k,air,history_dizziness,bone
8	0.9125192135859682	7	3	history_noise,air,o_ar_c
9	0.9002271067083336	2	10	history_noise,air,o_ar_c,o_ar_u,m_m_sn,notch_at_4k,m_sn_gt_1k,mod_sn_gt_3k,history_dizziness,ar_u
