index	highest_proba	outcome	cost_of_classification	used_features
0	0.9092342671779696	0	1	ring_type
1	0.9092342671779696	0	1	ring_type
2	0.951031150909505	0	1	gill_color
3	0.9092342671779696	0	1	ring_type
4	0.9247896921472836	0	1	gill_color
5	0.9092342671779696	0	1	ring_type
6	0.91005611486806	0	1	ring_type
7	0.9097387187244848	0	1	ring_type
8	0.912259669743544	0	1	ring_type
9	0.9099516575029604	0	1	ring_type
10	0.9092342671779696	0	1	ring_type
11	0.9086542792514328	0	1	ring_type
12	0.9092342671779696	0	1	ring_type
13	0.9086542792514328	0	1	ring_type
14	0.9156485217249908	0	3	ring_type,gill_size,stalk_shape
15	0.9247896921472836	0	1	gill_color
16	0.917966335778753	0	3	ring_type,gill_size,stalk_shape
17	0.910781735104603	0	1	ring_type
18	0.9086542792514328	0	1	ring_type
19	0.9092342671779696	0	1	ring_type
20	0.91005611486806	0	1	ring_type
21	0.9113280611091504	0	1	ring_type
22	0.91005611486806	0	1	ring_type
23	0.9099516575029604	0	1	ring_type
24	0.9103678986889672	0	1	ring_type
25	0.9086542792514328	0	1	ring_type
26	0.91005611486806	0	1	ring_type
27	0.91005611486806	0	1	ring_type
28	0.910781735104603	0	1	ring_type
29	0.91005611486806	0	1	ring_type
30	0.912259669743544	0	1	ring_type
31	0.9099516575029604	0	1	ring_type
32	0.912259669743544	0	1	ring_type
33	0.9086542792514328	0	1	ring_type
34	0.9099516575029604	0	1	ring_type
35	0.9086542792514328	0	1	ring_type
36	0.9247896921472836	0	1	gill_color
37	0.91005611486806	0	1	ring_type
38	0.9099516575029604	0	1	ring_type
39	0.910781735104603	0	1	ring_type
40	0.9097387187244848	0	1	ring_type
41	0.9103678986889672	0	1	ring_type
42	0.912259669743544	0	1	ring_type
43	0.912259669743544	0	1	ring_type
44	0.910781735104603	0	1	ring_type
45	0.9097387187244848	0	1	ring_type
46	0.9092342671779696	0	1	ring_type
47	0.9113280611091504	0	1	ring_type
48	0.9086542792514328	0	1	ring_type
49	0.9099516575029604	0	1	ring_type
50	0.9957382783452026	0	2	gill_color,stalk_surface_above_ring
51	0.910781735104603	0	1	ring_type
52	0.9103678986889672	0	1	ring_type
53	0.91005611486806	0	1	ring_type
54	0.9113280611091504	0	1	ring_type
55	0.910781735104603	0	1	ring_type
56	0.9191672693148968	0	3	ring_type,gill_size,stalk_shape
57	0.9103678986889672	0	1	ring_type
58	0.9247896921472836	0	1	gill_color
59	0.9099516575029604	0	1	ring_type
60	0.9113280611091504	0	1	ring_type
61	0.9086542792514328	0	1	ring_type
62	0.9086542792514328	0	1	ring_type
63	0.910781735104603	0	1	ring_type
64	0.912259669743544	0	1	ring_type
65	0.9165251104052896	0	3	ring_type,gill_size,stalk_shape
66	0.9092342671779696	0	1	ring_type
67	0.912259669743544	0	1	ring_type
68	0.912259669743544	0	1	ring_type
69	0.910781735104603	0	1	ring_type
70	0.910781735104603	0	1	ring_type
71	0.9099516575029604	0	1	ring_type
72	0.9097387187244848	0	1	ring_type
73	0.9589998018177108	0	2	gill_color,stalk_surface_above_ring
74	0.91005611486806	0	1	ring_type
