index	highest_proba	outcome	cost_of_classification	used_features
0	0.8502042169514065	7	67	o_ar_c,history_noise,notch_4k,notch_at_4k,o_ar_u,ar_c,ar_u,mod_sn_gt_3k,history_nausea,history_vomiting,m_m_sn,m_m_sn_gt_2k,m_m_sn_gt_500,mod_sn_gt_4k,mod_sn_gt_500,history_roaring,m_sn_gt_3k,bser,m_cond_lt_1k,airBoneGap,m_s_gt_500,m_p_sn_gt_2k,m_sn_lt_2k,m_sn_lt_3k,m_s_sn_gt_1k,mod_gt_4k,mod_sn_gt_1k,m_sn_gt_6k,mod_sn_gt_2k,history_buzzing,bone,history_fluctuating,m_sn_2_3k,history_dizziness,air,m_sn_gt_4k,m_sn_gt_2k,mod_mixed,history_fullness,history_heredity,history_recruitment,history_ringing,vmod_s_mixed,mod_sn,m_m_gt_2k,late_wave_poor,s_sn_gt_2k,m_at_2k,tymp,m_gt_1k,m_m_sn_gt_1k,boneAbnormal,m_s_sn,m_s_sn_gt_3k,m_s_sn_gt_2k,m_sn_gt_500,m_s_sn_gt_4k,m_sn_gt_1k,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
1	0.5465569593186166	2	67	o_ar_c,history_noise,air,bone,notch_at_4k,bser,m_cond_lt_1k,history_nausea,m_p_sn_gt_2k,m_m_gt_2k,history_vomiting,m_m_sn,m_m_sn_gt_1k,airBoneGap,history_dizziness,m_sn_gt_4k,ar_c,m_m_sn_gt_2k,mod_sn_gt_3k,history_buzzing,mod_sn_gt_2k,notch_4k,mod_sn_gt_4k,history_fluctuating,m_s_gt_500,history_fullness,m_sn_2_3k,ar_u,m_sn_gt_3k,m_m_sn_gt_500,m_s_sn_gt_1k,o_ar_u,history_heredity,history_recruitment,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_sn_gt_6k,mod_sn_gt_500,history_roaring,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_gt_4k,m_sn_lt_1k,mod_sn_gt_1k,m_s_sn_gt_4k,m_sn_gt_1k,s_sn_gt_2k,middle_wave_poor,mod_mixed,boneAbnormal,vmod_s_mixed,mod_s_sn_gt_500,mod_sn,s_sn_gt_1k,tymp,m_sn_gt_2k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
2	0.9256287976837017	7	26	history_noise,o_ar_c,air,bone,notch_4k,notch_at_4k,history_nausea,bser,mod_sn_gt_3k,m_sn_gt_4k,mod_sn_gt_4k,ar_c,m_cond_lt_1k,airBoneGap,history_vomiting,m_sn_gt_3k,o_ar_u,m_p_sn_gt_2k,mod_sn_gt_500,history_roaring,m_sn_2_3k,mod_sn_gt_2k,boneAbnormal,history_dizziness,m_sn_gt_2k,m_m_sn
3	0.7543993300063457	7	67	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_4k,m_sn_gt_1k,airBoneGap,bser,history_vomiting,m_sn_gt_2k,m_cond_lt_1k,history_dizziness,m_m_sn_gt_1k,mod_sn_gt_3k,ar_c,mod_sn_gt_2k,m_sn_gt_3k,boneAbnormal,m_m_sn_gt_500,m_p_sn_gt_2k,m_s_sn_gt_1k,m_sn_2_3k,history_nausea,m_m_sn,m_sn_gt_6k,m_sn_lt_2k,mod_gt_4k,history_roaring,mod_sn_gt_4k,ar_u,notch_4k,history_buzzing,m_sn_lt_3k,mod_sn_gt_1k,bone,mod_mixed,o_ar_u,history_fluctuating,history_fullness,history_heredity,vmod_s_mixed,mod_sn_gt_500,history_recruitment,history_ringing,late_wave_poor,mod_sn,m_at_2k,m_gt_1k,m_s_gt_500,m_s_sn_gt_3k,s_sn_gt_2k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_4k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,m_m_gt_2k,tymp,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged,static_normal
4	0.5390682077871378	7	67	o_ar_c,history_noise,air,bone,notch_at_4k,bser,m_cond_lt_1k,history_nausea,m_p_sn_gt_2k,m_m_gt_2k,history_vomiting,m_m_sn,m_m_sn_gt_1k,airBoneGap,history_dizziness,m_sn_gt_4k,ar_c,m_m_sn_gt_2k,mod_sn_gt_3k,history_buzzing,mod_sn_gt_2k,notch_4k,mod_sn_gt_4k,history_fluctuating,m_s_gt_500,history_fullness,m_sn_2_3k,ar_u,m_sn_gt_3k,m_m_sn_gt_500,m_s_sn_gt_1k,o_ar_u,history_heredity,history_recruitment,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_sn_gt_6k,mod_sn_gt_500,history_roaring,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_3k,m_sn_gt_500,m_sn_lt_2k,m_sn_lt_3k,mod_gt_4k,m_sn_lt_1k,mod_sn_gt_1k,m_s_sn_gt_4k,m_sn_gt_1k,s_sn_gt_2k,middle_wave_poor,mod_mixed,boneAbnormal,vmod_s_mixed,mod_s_sn_gt_500,mod_sn,s_sn_gt_1k,tymp,m_sn_gt_2k,s_sn_gt_4k,static_normal,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged
5	0.9018055073970191	7	63	history_noise,o_ar_c,air,notch_at_4k,m_m_sn_gt_1k,bser,history_nausea,notch_4k,mod_sn_gt_3k,airBoneGap,history_buzzing,m_cond_lt_1k,mod_sn_gt_500,history_vomiting,ar_u,history_roaring,m_m_sn_gt_500,m_sn_gt_3k,mod_sn_gt_2k,ar_c,m_sn_2_3k,history_fluctuating,bone,history_dizziness,m_p_sn_gt_2k,boneAbnormal,m_s_sn_gt_1k,history_fullness,m_s_gt_500,m_sn_lt_2k,m_sn_gt_6k,m_sn_lt_3k,mod_sn_gt_4k,mod_mixed,vmod_s_mixed,mod_sn,mod_sn_gt_1k,tymp,m_m_sn,m_sn_gt_4k,history_heredity,m_m_sn_gt_2k,o_ar_u,m_sn_gt_2k,history_recruitment,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_s_sn_gt_3k,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_4k,m_sn_gt_1k,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k,middle_wave_poor,mod_gt_4k,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k
6	0.5822188104677535	2	67	o_ar_c,history_noise,air,notch_at_4k,m_sn_gt_4k,m_sn_gt_1k,airBoneGap,bser,history_vomiting,m_sn_gt_2k,m_cond_lt_1k,history_dizziness,m_m_sn_gt_1k,mod_sn_gt_3k,ar_c,mod_sn_gt_2k,m_sn_gt_3k,boneAbnormal,m_m_sn_gt_500,m_p_sn_gt_2k,m_s_sn_gt_1k,m_sn_2_3k,history_nausea,m_m_sn,m_sn_gt_6k,m_sn_lt_2k,mod_gt_4k,history_roaring,mod_sn_gt_4k,ar_u,notch_4k,history_buzzing,m_sn_lt_3k,mod_sn_gt_1k,bone,mod_mixed,o_ar_u,history_fluctuating,history_fullness,history_heredity,vmod_s_mixed,mod_sn_gt_500,history_recruitment,history_ringing,late_wave_poor,mod_sn,m_at_2k,m_gt_1k,m_s_gt_500,m_s_sn_gt_3k,s_sn_gt_2k,m_m_sn_gt_2k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_4k,m_sn_gt_500,m_sn_lt_1k,middle_wave_poor,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k,m_m_gt_2k,tymp,viith_nerve_signs,wave_V_delayed,waveform_ItoV_prolonged,static_normal
7	0.9018055073970191	7	63	history_noise,o_ar_c,air,notch_at_4k,m_m_sn_gt_1k,bser,history_nausea,notch_4k,mod_sn_gt_3k,airBoneGap,history_buzzing,m_cond_lt_1k,mod_sn_gt_500,history_vomiting,ar_u,history_roaring,m_m_sn_gt_500,m_sn_gt_3k,mod_sn_gt_2k,ar_c,m_sn_2_3k,history_fluctuating,bone,history_dizziness,m_p_sn_gt_2k,boneAbnormal,m_s_sn_gt_1k,history_fullness,m_s_gt_500,m_sn_lt_2k,m_sn_gt_6k,m_sn_lt_3k,mod_sn_gt_4k,mod_mixed,vmod_s_mixed,mod_sn,mod_sn_gt_1k,tymp,m_m_sn,m_sn_gt_4k,history_heredity,m_m_sn_gt_2k,o_ar_u,m_sn_gt_2k,history_recruitment,history_ringing,late_wave_poor,m_at_2k,m_gt_1k,m_s_sn_gt_3k,m_m_gt_2k,m_s_sn,m_s_sn_gt_2k,m_s_sn_gt_4k,m_sn_gt_1k,m_sn_gt_500,s_sn_gt_2k,m_sn_lt_1k,middle_wave_poor,mod_gt_4k,mod_s_sn_gt_500,s_sn_gt_1k,s_sn_gt_4k
8	0.9009615599456368	7	14	history_noise,o_ar_c,air,bone,notch_4k,notch_at_4k,history_nausea,bser,mod_sn_gt_3k,m_sn_gt_4k,mod_sn_gt_4k,ar_c,m_cond_lt_1k,airBoneGap
9	0.9026064071932186	7	35	history_noise,o_ar_c,air,bone,notch_4k,notch_at_4k,history_nausea,bser,mod_sn_gt_3k,m_sn_gt_4k,mod_sn_gt_4k,ar_c,m_cond_lt_1k,airBoneGap,history_vomiting,m_sn_gt_3k,o_ar_u,m_p_sn_gt_2k,mod_sn_gt_500,history_roaring,m_sn_2_3k,mod_sn_gt_2k,boneAbnormal,history_dizziness,m_sn_gt_2k,m_m_sn,ar_u,history_buzzing,m_m_sn_gt_1k,m_m_sn_gt_500,s_sn_gt_2k,history_fluctuating,history_fullness,m_s_sn_gt_3k,m_s_sn_gt_4k
